Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Flaeche (ha)",Fahrlaessigkeit Anzahl,"Fahrlaessigkeit Flaeche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Flaeche (ha)",Natuerliche Ursachen Anzahl,"Natuerliche Ursachen Flaeche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Flaeche (ha)",Zusammen Anzahl,"Zusammen Flaeche (ha)"
Baden-Württemberg,2,"0.0",11,"2.2",0,"0.0",0,"0.0",2,"0.1",15,"2.3"
Bayern,4,"0.9",16,"2.00",4,"4.2",2,"0.1",14,"6.6",40,"13.7"
Berlin,19,"3.0",3,"0.4",0,"0.0",0,"0.01",21,"4.61",43,"8"
Brandenburg,102,"22.4",129,"77.0",16,"6.8",19,"8.3",192,"47.6",458,"162.1"
Bremen,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0"
Hamburg,0,"0.0",0,"0",0,"0.0",0,"0",0,"0",0,"0.0"
Hessen,22,"1.8",21,"8.8",0,"0.0",3,"0.2",14,"5.2",60,"16.0"
Mecklenburg-Vorpommern,17,"1.1",39,"15.6",6,"2.5",1,"0.0",44,"14.5",107,"33.7"
Niedersachsen,33,"7.6",31,"66.3",8,"2.4",4,"0.2",44,"8.4",120,"84.9"
Nordrhein-Westfalen,7,"1.0",13,"1.9",1,"1.0",1,"0.0",25,"6.8",47,"10.8"
Rheinland-Pfalz,20,"0.9",10,"0.7",0,"0.0",1,"1
0,2",14,"1.4",45,"3.1"
Saarland,4,"0.4",1,"0.5",0,"0.0",0,"0",4,"2.2",9,"3.0"
Sachsen,9,"8.1",11,"5.1",4,"1.2",7,"2.4",14,"39.5",45,"56.2"
Sachsen-Anhalt,28,"98.7",42,"43.4",1,"0.0",11,"3.3",118,"41.1",200,"186.5"
Schleswig-Holstein,5,"3.3",16,"5.6",0,"0.0",1,"0.1",12,"1.0",34,"10.0"
Thüringen,1,"0.0",2,"0.1",0,"0.0",1,"0.0",10,"1.5",14,"1.6"
Frueheres Bundesgebiet,273,"149.2",345,"229.7",40,"18.1",51,"14.7",528,"180.3",1237,"592.0"
Neue Laender,2,"0.0",11,"2.2",0,"0.0",0,"0.0",2,"0.1",15,"2.3"
Deutschland,4,"0.9",16,"2.00",4,"4.2",2,"0.1",14,"6.6",40,"13.7"
