;;;;;;
;;;;;;
"Land
Fläche (ha)";"Nadelholz
";Laubholz;Zusammen;;;
;Fläche (ha);;Anzahl;Fläche (ha);;
Baden-Württemberg;1,3;1,01;15;2,3;;
Bayern;7,8;5,9;40;13,7;;
Berlin;6,5;1,5;43;8,0;;
Brandenburg;139,9;22,2;458;162,1;;
Bremen;0,0;0,0;0;0,0;;
Hamburg;0,0;0,0;0;0,0;;
Hessen 1);0,0;0,01;60;16,0;;
Mecklenburg-Vorpommern;30,3;3,5;107;33,7;;
Niedersachsen;48,7;36,2;120;84,9;;
Nordrhein-Westfalen;7,9;2,91;47;10,8;;
Rheinland-Pfalz;2,2;1,01;45;3,1;;
Saarland;0,6;2,5;9;3,0;;
Sachsen;53,4;2,8;45;56,2;;
Sachsen-Anhalt;92,3;94,2;200;186,5;;
Schleswig-Holstein;7,0;3,0;34;10,0;;
Thüringen;1,51;0,1;14;1,6;;
Deutschland 1);415,2;176,8;1.237;592,0;;
