Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Fläche (ha)",Fahrlässigkeit Anzahl,"Fahrlässigkeit Fläche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Fläche (ha)",Natürliche Ursachen Anzahl,"Natürliche Ursachen Fläche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Fläche (ha)",Zusammen Anzahl,"Zusammen Fläche (ha)"
Baden-Württemberg,16,"3,5",47,"7,6",4,"2,4",3,"4,6",67,"13,6",137,"31,7"
Bayern,7,"2,8",47,"32,0",45,"131,3",6,"1,8",77,"36,9",182,"204,8"
Berlin,21,"9,5",0,"0,0",0,"0,0",0,"0,0",19,"6,4",40,"15,9"
Brandenburg,196,"233,0",99,"38,6",21,"203,5",51,"10,4",351,"131,4",718,"616,9"
Bremen,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hamburg,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0"
Hessen,40,"3,4",28,"10,9",o,"0,0",2,"1,5",146,"28,1",216,"43,9"
Mecklenburg-Vorpommern,29,"6,3",25,"13,2",1,"4,5",5,"0,2",70,"43,5",130,"67,7"
Niedersachsen,45,"7,5",28,"10,2",63,"16,6",5,"0,7",58,"17,8",199,"52,8"
Nordrhein-Westfalen,25,"2,3",40,"11,0",o,"0,0",7,"0,5",94,"19,2",166,"33,1"
Rheinland-Pfalz,27,"8,0",33,"12,6",12,"17,5",4,"0,0",77,"17,7",153,"55,8"
Saarland,1,"0,1",1,"0,0",0,"0,0",0,"0,0",22,"22,7",24,"22,8"
Sachsen,55,"10,8",78,"12,1",1,"0,5",12,"0,2",119,"22,9",265,"46,4"
Sachsen-Anhalt,43,"26,7",28,"11,6",5,"12,3",12,"3,3",100,"50,6",188,"104,5"
Schleswig-Holstein,3,"0,3",2,"0,3",0,"0,0",0,"0,0",8,"0,8",13,"1,4"
Thüringen,29,"5,7",36,"8,0",0,"0,0",4,"0,0",24,"3,7",93,"17,5"
Früheres Bundesgebiet,185,"37,4",226,"84,7",124,"167,8",27,"9,2",568,"163,2",1.130,"462,2"
Neue Länder,352,"282,5",266,"83,5",28,"220,8",84,"14,0",664,"252,1",1.394,"852,9"
Deutschland,537,"319,8",492,"168,1",152,"388,6",111,"23,2",1.232,"415,3",2.524,"1.315,1"
