Land,Vorsatz (Brandstiftung) Anzahl,"Vorsatz (Brandstiftung) Fläche (ha)",Fahrlässigkeit Anzahl,"Fahrlässigkeit Fläche (ha)",Sonst.handlungsbed. Einwirkungen Anzahl,"Sonst.handlungsbed. Einwirkungen Fläche (ha)",Natürliche Ursachen Anzahl,"Natürliche Ursachen Fläche (ha)",Unbekannte Ursachen Anzahl,"Unbekannte Ursachen Fläche (ha)",Zusammen Anzahl,"Zusammen Fläche (ha)"
Baden-Württemberg,,,,,,,,,,,,
Bayern,,,,,,,,,,,,
Berlin,,,,,,,,,,,,
Brandenburg,,,,,,,,,,,,
Bremen,,,,,,,,,,,,
Hamburg,,,,,,,,,,,,
Hessen,,,,,,,,,,,,
Mecklenburg-Vorpommern,,,,,,,,,,,,
Niedersachsen,,,,,,,,,,,,
Nordrhein-Westfalen,,,,,,,,,,,,
Rheinland-Pfalz,,,,,,,,,,,,
Saarland,,,,,,,,,,,,
Sachsen,,,,,,,,,,,,
Sachsen-Anhalt,,,,,,,,,,,,
Schleswig-Holstein,,,,,,,,,,,,
Thüringen,,,,,,,,,,,,
Früheres Bundesgebiet,,,,,,,,,,,,
Neue Länder,,,,,,,,,,,,
Deutschland,,,,,,,,,,,,
