Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wurttemberg,"0.0","2.3","0.0","1.0","4.1","0.0","0.1","0.0","0.0","0.0","0.0","0.0"
Bayern,"0.0","10.7","9.5","0.8","6.0","2.3","9.5","4.3","0.0","0.0","0.0","0.0"
Berlin,"0.0","0.0","0.0","0.0","0.7","1.9","2.2","0.4","0.0","0.0","0.0","0.0"
Brandenburg,"0.0","0.0","0.4","6.2","26.7","257.8","52.2","21.0","0.7","0.0","0.0","0.0"
Bremen,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hamburg,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hessen,"0.0","0.0","0.2","0.0","1.1","0.2","0.0","0.1","0.0","0.0","0.0","0.0"
Mecklenburg-Vorpommern,"0.0","0.0","0.0","1.0","3.6","14.2","12.0","1.9","0.0","0.0","0.0","0.0"
Niedersachsen,"0.1","0.0","0.2","0.4","2.6","10.4","1.9","1.8","0.1","0.1","0.0","0.0"
Nordrhein-Westfalen,"0.0","0.0","0.0","0.1","0.8","1.6","0.3","0.1","0.1","0.0","0.0","0.0"
Rheinland-pfalz,"0.0","0.0","0.0","0.2","0.4","0.1","0.4","0.2","0.1","0.0","0.0","0.0"
Saarland,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Sachsen,"0.0","0.0","0.0","0.1","31.6","6.4","0.2","3.0","0.0","0.9","0.0","0.0"
Sachsen-Anhalt,"0.0","0.0","0.0","0.0","1.4","6.6","3.4","0.8","0.0","0.0","0.0","0.0"
Schleswig-Holstein,"0.0","0.0","0.0","0.0","5.3","0.2","0.0","0.4","0.0","0.0","0.0","0.0"
Thuringen,"0.0","0.0","0.0","0.0","0.0","0.4","0.7","0.1","0.1","0.0","0.0","0.0"
Fruheres Bundesgebiet,"0.1","13.0","10.0","2.5","20.9","16.7","14.5","7.3","0.3","0.1","0.0","0.0"
Neue Lander,"0.0","0.0","0.4","7.4","63.3","285.2","68.4","26.9","0.8","0.9","0.0","0.0"
Deutschland,"0.1","13.0","10.4","9.9","84.3","301.9","82.8","34.1","1.1","1.0","0.0","0.0"
