Land,"Jan","Feb","Mar","Apr","Mai","Jun","Jul","Aug","Sep","Okt","Nov","Dez"
Baden-Württemberg,"0.0","0.0","0.8","4.3","0.0","0.6","0.1","0.0","0.7","0.1","0.0","0.0"
Bayern,"0.0","0.0","6.6","5.3","10.2","4.1","4.4","3.7","0.0","0.0","0.0","0.0"
Berlin,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.1","0.0","0.0","0.0","0.0"
Brandenburg,"0.0","0.0","1.2","5.8","0.1","8.2","282.9","0.1","0.0","0.0","0.0","0.0"
Bremen,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hamburg,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hessen,"0.0","0.0","0.0","0.2","0.0","0.3","0.6","0.0","0.0","0.0","0.0","0.0"
Mecklenburg-Vorpommern,"0.0","0.0","0.0","0.9","0.0","1.0","3.9","0.6","0.0","0.0","0.0","0.0"
Niedersachsen,"0.0","0.0","0.1","12.7","5.3","12.2","30.8","6.9","1.0","0.2","0.0","0.0"
Nordrhein-Westfalen,"0.0","0.0","0.1","1.6","0.0","2.3","2.6","1.1","0.0","0.0","0.0","0.0"
Rheinland-Pfalz,"0.0","0.0","6.0","1.8","0.9","0.3","5.8","0.1","0.0","0.0","0.0","0.0"
Saarland,"0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0"
Sachsen,"0.0","0.0","0.8","11.2","0.1","0.5","4.1","0.0","0.0","0.0","0.0","0.0"
Sachsen-Anhalt,"0.0","0.0","0.0","1.3","0.1","13.8","38.3","0.8","7.0","0.0","0.0","0.0"
Schleswig-Holstein,"0.0","0.0","0.0","0.0","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.0"
Thüringen,"0.0","0.0","0.0","0.6","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0"
Früheres Bundesgebiet,"0.0","0.0","13.6","25.9","16.4","20.1","47.3","13.0","1.7","0.3","0.0","0.0"
Neue Länder,"0.0","0.0","2.0","20.0","0.3","23.8","329.1","1.5","7.0","0.0","0.0","0.0"
Deutschland,"0.0","0.0","15.6","45.9","16.7","43.8","376.4","14.5","8.7","0.3","0.0","0.0"
