Land,Nadelholz Fläche (ha),Laubholz Fläche (ha),"Zusammen Anzahl ",Zusammen Fläche (ha)
"Baden-Württemberg","3,8","2,6",44,"6,4"
"Bayern","38,2","4,2",82,"42,4"
"Berlin","0,0","0,0",0,"0,0"
"Brandenburg","43,8","2,3",225,"46,1"
"Bremen","0,0","0,0",0,"0,0"
"Hamburg","0,0","0,0",0,"0,0"
"Hessen","4,1","10,1",46,"14,2"
"Mecklenburg-Vorpommern","11,5","0,6",34,"12,0"
"Niedersachsen","25,9","2,2",132,"28,1"
"Nordrhein-Westfalen","10,9","6,3",56,"17,2"
"Rheinland-Pfalz","3,2","3,4",67,"6,6"
"Saarland","0,0","0,0",0,"0,0"
"Sachsen","9,7","4,3",100,"14,0"
"Sachsen-Anhalt","12,3","8,6",72,"20,9"
"Schleswig-Holstein","0,2","1,0",5,"1,2"
"Thüringen","2,8","2,0",25,"4,8"
"Früheres Bundesgebiet","86,3","29,9",432,"116,2"
"Neue Länder","80,1","17,7",456,"97,8"
"Deutschland","166,4","47,6",888,"214,0"
