Baden-Württemberg,"6.6","13.3",57,"19.9"
Bayern,"34.7","8.4",61,"43.1"
Berlin,"1.5","0.0",2,"1.5"
Brandenburg,"62.8","15.0",241,"77.9"
Bremen,"0.0","0.0",0,"0.0"
Hamburg,"0.0","0.0",0,"0.0"
Hessen,"2.8","7.8",42,"10.5"
Mecklenburg-Vorpommern,"3.3","0.4",20,"3.7"
Niedersachsen,"60.3","9.3",57,"69.6"
Nordrhein-Westfalen,"1.2","0.5",21,"1.7"
Rheinland-Pfalz,"4.2","1.9",25,"6.1"
Saarland,"0.0","1.0",3,"1.0"
Sachsen,"4.1","10.1",82,"14.2"
Sachsen-Anhalt,"9.4","3.3",67,"12.7"
Schleswig-Holstein,"0.0","0.0",0,"0.0"
Thüringen,"5.1","1.6",23,"6.7"
Früheres Bundesgebiet,"111.4","42.0",268,"153.4"
Neue Länder,"84.7","30.5",433,"115.2"
Deutschland,"196.1","72.5",701,"268.6"
Baden-Württemberg,5,"0.1",22,"10.6",1,"0.0",2,"0.1",27,"9.1",57,"19.9"
Bayern,2,"0.2",10,"15.2",36,"27.0",0,"0.0",13,"0.7",61,"43.1"
Berlin,0,"0.0",2,"1.5",0,"0.0",0,"0.0",0,"0.0",2,"1.5"
Brandenburg,42,"17.4",68,"11.8",7,"3.4",21,"4.2",103,"41.0",241,"77.9"
Bremen,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0"
Hamburg,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0"
Hessen,16,"3.6",6,"2.3",0,"0.0",0,"0.0",20,"4.7",42,"10.5"
Mecklenburg-Vorpommern,5,"0.9",7,"2.4",1,"0.0",0,"0.0",7,"0.4",20,"3.7"
Niedersachsen,1,"0.0",5,"0.4",14,"2.1",0,"0.0",37,"67.1",57,"69.6"
Nordrhein-Westfalen,5,"0.2",3,"0.1",1,"0.4",6,"0.0",6,"1.0",21,"1.7"
Rheinland-Pfalz,14,"2.0",6,"1.8",0,"0.0",1,"1.4",4,"0.9",25,"6.1"
Saarland,2,"0.2",0,"0.0",0,"0.0",0,"0.0",1,"0.8",3,"1.0"
Sachsen,10,"0.8",26,"6.8",0,"0.0",10,"3.8",36,"2.9",82,"14.2"
Sachsen-Anhalt,27,"4.3",17,"1.2",0,"0.0",2,"0.0",21,"7.1",67,"12.7"
Schleswig-Holstein,0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0",0,"0.0"
