,"Jan","Feb","Mär","Apr","Mai","Jun","Jul","Aug","Sep","Okt","Nov","Dez"
Baden-Württemberg,"0,0","0,0","0,4","1,5","0,1","0,4","0,1","0,1","0,0","0,0","0,0","0,0"
Bayern,"0,0","0,0","1,9","3,4","2,0","15,7","14,8","5,5","0,0","0,0","0,0","0,0"
Berlin,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Brandenburg,"0,0","0,3","7,2","6,0","0,4","5,8","8,2","0,0","0,0","0,0","0,0","0,0"
Bremen,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Hamburg,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Hessen,"0,0","0,0","3,9","3,3","0,0","2,2","0,0","0,0","0,0","0,0","0,0","0,0"
Mecklenburg-Vorpommern,"0,0","0,0","0,1","0,1","0,1","0,3","1,5","0,0","0,0","0,0","0,0","0,0"
Niedersachsen,"0,0","0,3","1,6","0,5","1,3","0,7","1,8","4,2","0,0","0,0","0,0","0,0"
Nordrhein-Westfalen,"0,0","0,0","1,2","0,0","3,3","0,0","0,9","0,1","1,5","0,0","0,0","0,0"
Rheinland-Pfalz,"0,1","0,0","1,1","0,5","0,1","1,2","0,0","0,0","0,0","0,0","0,0","0,0"
Saarland,"0,0","0,0","0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Sachsen,"0,0","0,0","0,1","5,2","0,0","0,2","1,4","0,1","0,0","0,0","0,0","0,0"
Sachsen-Anhalt,"0,0","0,8","0,3","0,1","1,9","1,6","1,1","0,1","0,0","0,0","0,0","0,0"
Schleswig-Holstein,"0,0","0,0","0,0","0,0","0,0","0,2","0,1","0,0","0,0","0,0","0,0","0,0"
Thüringen,"0,0","0,0","0,3","0,1","0,0","0,0","0,1","0,0","0,0","0,0","0,0","0,0"
Früheres Bundesgebiet,"0,1","0,3","10,4","9,2","6,9","20,5","17,7","9,9","1,5","0,1","0,0","0,0"
Neue Länder,"0,0","1,1","8,0","11,6","2,4","7,9","12,3","0,2","0,0","0,0","0,0","0,0"
Deutschland,"0,1","1,4","18,4","20,8","9,3","28,4","29,9","10,1","1,5","0,1","0,0","0,0"
