Land,"Nadelholz Fläche (ha)","Laubholz Fläche (ha)","Zusammen Anzahl ","Zusammen Fläche (ha)"
Baden-Württemberg,"5,1","5,2",57,"10,3"
Bayern,"54,9","10,9",112,"65,8"
Berlin,"0,0","0,0",1,"0,0"
Brandenburg,"278,5","49,8",332,"328,3"
Bremen,"0,0","0,0",0,"0,0"
Hamburg,"0,2","0,1",2,"0,3"
Hessen,"10,6","1,7",124,"12,3"
Mecklenburg-Vorpommern,"5,5","3,3",31,"8,8"
Niedersachsen,"14,7","8,6",82,"23,3"
Nordrhein-Westfalen,"7,5","2,3",27,"9,8"
Rheinland-Pfalz,"9,1","3,3",37,"12,5"
Saarland,"0,0","0,0",0,"0,0"
Sachsen,"10,8","5,7",128,"16,5"
Sachsen-Anhalt,"24,8","6,7",92,"31,4"
Schleswig-Holstein,"0,0","0,0",0,"0,0"
Thüringen,"4,5","1,9",46,"6,4"
Früheres Bundesgebiet,"102,1","32,1",442,"134,2"
Neue Länder,"324,0","67,4",629,"391,4"
Deutschland,"426,1","99,4",1.071,"525,5"
