,Jan,Feb,Maer,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wuerttemberg,0,0,2,8,0,0,14,25,3,2,3,0
Bayern,1,1,3,25,5,9,23,34,7,2,0,2
Berlin,0,0,0,0,1,0,0,0,0,0,0,0
Brandenburg,0,0,4,51,34,71,71,85,8,5,0,3
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,1,1,0,0,0,0,0,0,0
Hessen,0,0,0,23,17,15,38,26,0,2,3,0
Mecklenburg-Vorpommern,1,0,0,8,1,6,8,4,1,1,1,0
Niedersachsen,1,0,3,15,2,29,15,12,2,2,1,0
Nordrhein-Westfalen,0,0,8,1,3,4,8,2,1,0,0,0
Rheinland-Pfalz,0,0,3,8,2,6,8,10,0,0,0,0
Saarland,0,0,0,0,0,0,0,0,0,0,0,0
Sachsen,0,1,4,23,12,18,18,45,2,4,1,0
Sachsen-Anhalt,0,1,4,13,10,20,32,10,0,1,0,1
Schleswig-Holstein,0,0,0,0,0,0,0,0,0,0,0,0
Thueringen,0,0,3,3,5,2,5,27,0,0,0,1
Frueheres Bundesgebiet,2,1,19,81,31,63,106,109,13,8,7,2
Neue Laender,1,2,15,98,62,117,134,171,11,11,2,5
Deutschland,3,3,34,179,93,180,240,280,24,19,9,7
