Land,Nadelholz Flaeche (ha),Laubholz Flaeche (ha),"Zusammen Anzahl",Zusammen Flaeche (ha)
Baden-Württemberg,"2.8","0.3",28,"3.2"
Bayern,"54.6","5.5",55,"60.1"
Berlin,"1.3","0.0",4,"1.3"
Brandenburg,"86.3","71.1",248,"157.4"
Bremen,"0.0","0.0",0,"0.0"
Hamburg,"0.0","0.0",0,"0.0"
Hessen,"2.0","0.1",37,"2.1"
Mecklenburg-Vorpommern,"7.7","0.0",25,"7.7"
Niedersachsen,"2.2","1.5",33,"3.7"
Nordrhein-Westfalen,"2.9","0.2",21,"3.1"
Rheinland-Pfalz,"1.7","0.7",19,"2.4"
Saarland,"0.0","4.0",3,"4.0"
Sachsen,"5.0","0.4",52,"5.4"
Sachsen-Anhalt,"29.2","1.6",69,"30.8"
Schleswig-Holstein,"0.0","0.0",0,"0.0"
Thüringen,"1.8","0.2",14,"2.0"
Frueheres Bundesgebiet,"67.5","12.3",200,"79.8"
Neue Laender,"130.0","73.2",408,"203.2"
Deutschland,"197.5","85.5",608,"283.0"
