,Jan,Feb,Mär,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Württemberg,0,0,2,0,2,2,3,9,8,1,1,0
Bayern,0,0,0,3,7,7,13,21,1,0,0,3
Berlin,0,0,0,1,2,0,0,1,0,0,0,0
Brandenburg,0,0,10,30,71,43,27,24,42,0,0,1
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,0,3,4,9,0,2,7,10,2,0,0
Mecklenburg-Vorpommern,0,0,1,2,8,2,4,1,7,0,0,0
Niedersachsen,0,0,0,3,7,0,9,6,5,3,0,0
Nordrhein-Westfalen,0,0,0,1,5,3,6,2,2,1,0,1
Rheinland-Pfalz,1,0,0,0,1,0,2,7,8,0,0,0
Saarland,0,0,0,0,2,0,0,1,0,0,0,0
Sachsen,0,0,1,4,15,6,3,11,12,0,0,0
Sachsen-Anhalt,0,0,1,6,16,12,4,14,16,0,0,0
Schleswig-Holstein,0,0,0,0,0,0,0,0,0,0,0,0
Thüringen,0,0,0,0,4,0,1,7,2,0,0,0
Früheres Bundesgebiet,1,0,5,12,35,12,35,54,34,7,1,4
Neue Länder,0,0,13,42,114,63,39,57,79,0,0,1
Deutschland,1,0,18,5,19,75,7,111,113,7,1,5
