,"Jan","Feb","Maer","Apr","Mai","Jun","Jul","Aug","Sep","Okt","Nov","Dez"
Baden-Wuerttemberg,"0.00","2.21","0.52","0.70","0.00","0.22","2.90","4.40","0.00","0.00","0.00","0.00"
Bayern,"0.00","0.10","8.71","53.24","25.50","7.52","17.17","4.50","9.80","0.40","0.00","0.00"
Berlin,"0.00","0.00","0.00","0.01","4.97","6.93","1.98","0.02","0.00","0.00","0.00","0.00"
Brandenburg,"0.00","0.00","0.07","36.52","5.32","1088,26","231.59","22.72","4.13","0.00","0.01","0.01"
Bremen,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
Hamburg,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
Hessen,"0.00","3.26","0.00","6.94","0.00","7.75","1.19","0.57","0.03","0.02","0.00","0.00"
Mecklenburg-Vorpommern,"0.00","0.01","0.00","5.90","0.10","971.45","4.78","1.22","0.12","0.00","0.00","0.00"
Niedersachsen,"0.61","0.06","0.23","4.32","1.06","5.00","12.75","3.61","0.73","0.00","0.01","0.00"
Nordrhein-Westfalen,"0.00","0.50","0.90","11.20","0.50","1.80","7.90","4.40","0.60","0.00","0.00","0.00"
Rheinland-Pfalz,"0.00","0.00","1.11","0.11","0.20","0.78","5.67","0.38","0.11","0.00","0.00","0.00"
Saarland,"0.00","0.00","0.00","0.75","0.00","0.00","0.05","3.00","0.00","0.00","0.00","0.00"
Sachsen,"0.00","0.00","0.01","8.36","0.09","18.85","28.37","0.91","0.19","0.01","0.00","0.00"
Sachsen-Anhalt,"0.00","0.40","0.06","3.93","0.22","3.73","4.36","7.54","0.33","0.00","0.00","0.00"
Schleswig-Holstein,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
Thueringen,"0.00","0.50","0.00","17.37","0.07","2.26","1.22","0.11","0.10","0.00","0.00","0.00"
Frueheres Bundesgebiet,"0.61","6.13","11.47","77.27","32.23","30.00","49.61","20.88","11.27","0.42","0.01","0.00"
Neue Laender,"0.00","0.91","0.14","72.08","5.80","2084,55","270.32","32.50","4.87","0.01","0.01","0.01"
Deutschland,"0.61","7.04","11.61","149.35","38.03","2114,55","319.93","53.38","16.14","0.43","0.02","0.01"
