Hauptitel Abb. 2:;Anzahl Waldbrände und Schadensfläche;;;;;;;;;;;;;;;;;;;
Hauptitel Abb. 3:;Durchschnittliche Schadensfläche und Schadenssumme;;;;;;;;;;;;;;;;;;;
Untertitel:;;;;;;;;;;;;;;;;;;;;
Quelle:;Bundesanstalt für Landwirtschaft und Ernährung 2023 (Hrsg.), Waldbrandstatistik der Bundesrepublik Deutschland 2022. Bonn (Tabelle 7B);;;;;;;;;;;;;;;;;;;Quelle: Bundesanstalt für Landwirtschaft und Ernährung 2023 (Hrsg.), Waldbrandstatistik der Bundesrepublik Deutschland 2022. Bonn (Tabelle 7B)
Fußnote:;;;;;;;;;;;;;;;;;;;;
Achsenbezeichnung 1:;Waldbrandfläche in Hektar;;;;;;;;;;;;;;;;;;;
Achsenbezeichnung 2:;Anzahl Waldbrände;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;Anzahl Waldbrände;Waldbrandfläche in Hektar;;;;;;;;;;;;;;;;;
;1991;1.846;920;;;;;;;;;;;;;;;;;
;1992;3.012;4.908;;;;;;;;;;;;;;;;;
;1993;1.694;1.493;;;;;;;;;;;;;;;;;
;1994;1.696;1.114;;;;;;;;;;;;;;;;;
;1995;1.237;592;;;;;;;;;;;;;;;;;
;1996;1.748;1.381;;;;;;;;;;;;;;;;;
;1997;1.467;599;;;;;;;;;;;;;;;;;
;1998;1.032;397;;;;;;;;;;;;;;;;;
;1999;1.178;415;;;;;;;;;;;;;;;;;
;2000;1.210;581;;;;;;;;;;;;;;;;;
;2001;587;122;;;;;;;;;;;;;;;;;
;2002;513;122;;;;;;;;;;;;;;;;;
;2003;2.524;1.315;;;;;;;;;;;;;;;;;
;2004;626;274;;;;;;;;;;;;;;;;;
;2005;496;183;;;;;;;;;;;;;;;;;
;2006;930;482;;;;;;;;;;;;;;;;;
;2007;779;256;;;;;;;;;;;;;;;;;
;2008;818;539;;;;;;;;;;;;;;;;;
;2009;763;262;;;;;;;;;;;;;;;;;
;2010;780;522;;;;;;;;;;;;;;;;;
;2011;888;214;;;;;;;;;;;;;;;;;
;2012;701;269;;;;;;;;;;;;;;;;;
;2013;515;199;;;;;;;;;;;;;;;;;
;2014;429;120;;;;;;;;;;;;;;;;;
;2015;1.071;526;;;;;;;;;;;;;;;;;
;2016;608;283;;;;;;;;;;;;;;;;;
;2017;424;395;;;;;;;;;;;;;;;;;
;2018;1.708;2.349;;;;;;;;;;;;;;;;;
;2019;1.523;2.711;;;;;;;;;;;;;;;;;
;2020;1.360;368;;;;;;;;;;;;;;;;;
;2021;548;148;;;;;;;;;;;;;;;;;
;2022;2.397;3.058;;;;;;;;;;;;;;;;;
