Hauptitel Abb. 4:;Anzahl Waldbrände nach Ländern;;;;;;;;;;;;;;;;;;;;;;;
Hauptitel Abb. 5:;Waldbrandfläche nach Ländern;;;;;;;;;;;;;;;;;;;;;;;
Untertitel:;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;Quelle: 
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;Land;Anzahl Waldbrände ;;;;;Waldbrandfläche in Hektar;;;;;;;;;;;;;;;;;
;;2018;2019;2020;2021;2022;2018;2019;2020;2021;2022;;;;;;;;;;;;;
;"Baden-
Württemberg";28;19;51;29;123;7,2;11,0;19,3;7,4;24,8;;;;;;;;;;;;;
;Bayern;132;164;71;22;145;113,3;126,9;36,5;42,1;214,5;;;;;;;;;;;;;
;Berlin  ;9;22;5;1;31;0,8;13,9;0,1;0,0;60,8;;;;;;;;;;;;;
;"Branden-
burg";512;429;302;168;523;1.674,1;1.388,6;118,7;41,9;1.425,7;;;;;;;;;;;;;
;Bremen;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;
;Hamburg;0;0;1;0;0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;
;Hessen ;140;86;103;29;266;16,3;19,8;26,1;2,6;122,1;;;;;;;;;;;;;
;"Mecklenburg-
Vorpommern";87;75;47;28;67;29,9;983,6;6,1;15,0;13,3;;;;;;;;;;;;;
;"Nieder-
sachsen  ";168;285;271;98;451;31,2;28,4;30,1;4,4;144,7;;;;;;;;;;;;;
;"Nordrhein-
Westfalen";160;95;229;79;204;39,4;27,8;62,8;5,7;76,7;;;;;;;;;;;;;
;"Rheinland-
Pfalz  ";39;35;68;8;106;4,9;8,4;14,3;0,4;65,5;;;;;;;;;;;;;
;Saarland ;0;6;8;0;28;0,0;3,8;2,4;0,0;5,8;;;;;;;;;;;;;
;Sachsen;211;155;113;34;217;305,5;56,8;32,8;3,2;785,4;;;;;;;;;;;;;
;"Sachsen-
Anhalt";172;106;54;40;164;113,9;20,6;8,9;23,2;98,4;;;;;;;;;;;;;
;"Schleswig-
Holstein";7;0;1;0;0;1,1;0,0;0,6;0,0;0,0;;;;;;;;;;;;;
;Thüringen;43;46;36;12;72;11,2;21,6;9,0;1,8;22,4;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
