,Year,Month,CLIMATE_SUMMARY.PRECIPITATION_HEIGHT,CLIMATE_SUMMARY.WIND_FORCE_BEAUFORT,CLIMATE_SUMMARY.SUNSHINE_DURATION,nFires,state
0,1995,1,108.05,3.515,256140.0,0,Bremen
1,1995,2,77.4,3.8200000000000003,214740.0,0,Bremen
2,1995,3,75.1,4.05,482940.0,0,Bremen
3,1995,4,31.95,3.5,563580.0,0,Bremen
4,1995,5,45.1,2.63,774540.0,0,Bremen
5,1995,6,48.099999999999994,3.0549999999999997,657720.0,0.0,Bremen
6,1995,7,64.19999999999999,2.67,1035000.0,0,Bremen
7,1995,8,71.9,2.8,1004760.0,0,Bremen
8,1995,9,124.0,3.1,453780.0,0,Bremen
9,1995,10,14.9,2.54,433260.0,0,Bremen
10,1995,11,52.95,2.99,254880.0,0,Bremen
11,1995,12,18.1,2.665,188100.0,0,Bremen
12,1996,1,2.2,3.2649999999999997,320220.0,0,Bremen
13,1996,2,38.0,3.1950000000000003,226080.0,0,Bremen
14,1996,3,10.05,3.24,488520.0,0,Bremen
15,1996,4,10.65,2.45,729180.0,0,Bremen
16,1996,5,60.8,2.98,454680.0,0,Bremen
17,1996,6,50.45,2.84,563220.0,0.0,Bremen
18,1996,7,43.7,3.0,604260.0,0,Bremen
19,1996,8,56.8,2.825,827100.0,0,Bremen
20,1996,9,42.6,2.835,563400.0,0,Bremen
21,1996,10,47.3,2.745,404820.0,0,Bremen
22,1996,11,75.8,3.34,182700.0,0,Bremen
23,1996,12,28.6,2.67,214380.0,0,Bremen
24,1997,1,2.3,2.35,245700.0,0,Bremen
25,1997,2,72.55000000000001,3.925,235440.0,0,Bremen
26,1997,3,37.9,3.1399999999999997,362700.0,0,Bremen
27,1997,4,30.799999999999997,3.42,689220.0,0,Bremen
28,1997,5,75.8,2.96,711000.0,0,Bremen
29,1997,6,120.55,3.0,904500.0,0.0,Bremen
30,1997,7,76.3,2.71,807840.0,0,Bremen
31,1997,8,33.15,2.425,875520.0,0,Bremen
32,1997,9,23.8,2.645,550980.0,0,Bremen
33,1997,10,56.800000000000004,2.94,442080.0,0,Bremen
34,1997,11,23.55,3.04,195120.0,0,Bremen
35,1997,12,61.25,3.35,99000.0,0,Bremen
36,1998,1,67.6,3.4050000000000002,237780.0,0,Bremen
37,1998,2,17.200000000000003,3.8600000000000003,190440.0,0,Bremen
38,1998,3,58.75,3.565,406980.0,0,Bremen
39,1998,4,82.35,2.9699999999999998,328860.0,0,Bremen
40,1998,5,29.6,3.145,882180.0,0,Bremen
41,1998,6,170.85000000000002,3.035,557640.0,0.0,Bremen
42,1998,7,85.75,3.38,587880.0,0,Bremen
43,1998,8,85.3,3.1550000000000002,623700.0,0,Bremen
44,1998,9,69.0,2.6,338220.0,0,Bremen
45,1998,10,168.15,3.96,247860.0,0,Bremen
46,1998,11,59.45,2.62,194220.0,0,Bremen
47,1998,12,72.3,3.41,182700.0,0,Bremen
48,1999,1,51.4,3.34,152460.0,0,Bremen
49,1999,2,56.15,3.71,208080.0,0,Bremen
50,1999,3,43.25,3.1100000000000003,374040.0,0,Bremen
51,1999,4,35.1,3.265,662760.0,0,Bremen
52,1999,5,38.35,2.925,832320.0,0,Bremen
53,1999,6,38.35,2.96,851760.0,0.0,Bremen
54,1999,7,59.75,2.965,946080.0,0,Bremen
55,1999,8,61.0,2.82,620100.0,0,Bremen
56,1999,9,46.45,2.76,717840.0,0,Bremen
57,1999,10,40.349999999999994,3.435,436860.0,0,Bremen
58,1999,11,28.3,2.895,191340.0,0,Bremen
59,1999,12,143.2,3.9899999999999998,137880.0,0,Bremen
60,2000,1,46.85,3.755,217800.0,0,Bremen
61,2000,2,56.8,3.89,296460.0,0,Bremen
62,2000,3,94.65,3.81,240480.0,0,Bremen
63,2000,4,32.6,2.855,594360.0,0,Bremen
64,2000,5,39.5,2.995,1007100.0,0,Bremen
65,2000,6,56.650000000000006,3.37,721620.0,0.0,Bremen
66,2000,7,79.3,3.09,364860.0,0,Bremen
67,2000,8,56.4,2.575,708840.0,0,Bremen
68,2000,9,70.05,2.785,450360.0,0,Bremen
69,2000,10,49.1,3.255,340200.0,0,Bremen
70,2000,11,28.25,3.34,230760.0,0,Bremen
71,2000,12,54.05,3.335,196740.0,0,Bremen
72,2001,1,39.55,2.765,128520.0,0,Bremen
73,2001,2,45.15,3.33,191700.0,0,Bremen
74,2001,3,45.9,3.175,279180.0,0,Bremen
75,2001,4,68.75,3.165,478260.0,0,Bremen
76,2001,5,51.5,3.1,1004940.0,0,Bremen
77,2001,6,103.65,3.0999999999999996,651240.0,0.0,Bremen
78,2001,7,57.8,2.8899999999999997,895320.0,0,Bremen
79,2001,8,70.35,3.0149999999999997,730620.0,0,Bremen
80,2001,9,220.15,3.135,257400.0,0,Bremen
81,2001,10,31.9,3.29,333180.0,0,Bremen
82,2001,11,59.7,3.2,192600.0,0,Bremen
83,2001,12,89.15,3.065,183240.0,0,Bremen
84,2002,1,57.6,3.535,159120.0,0,Bremen
85,2002,2,98.45,4.32,327240.0,0,Bremen
86,2002,3,33.65,3.37,523620.0,0,Bremen
87,2002,4,65.4,2.9699999999999998,565020.0,1,Bremen
88,2002,5,33.4,2.79,628380.0,0,Bremen
89,2002,6,68.1,3.0650000000000004,645480.0,0.0,Bremen
90,2002,7,157.8,3.21,616860.0,0,Bremen
91,2002,8,188.45,2.4699999999999998,748080.0,0,Bremen
92,2002,9,46.7,2.6500000000000004,612180.0,0,Bremen
93,2002,10,144.2,3.24,393120.0,0,Bremen
94,2002,11,77.85,2.7350000000000003,143640.0,0,Bremen
95,2002,12,56.6,2.935,155160.0,0,Bremen
96,2003,1,72.0,3.45,116820.00000000001,0,Bremen
97,2003,2,15.9,2.8049999999999997,426780.0,0,Bremen
98,2003,3,29.35,2.81,568800.0,0,Bremen
99,2003,4,53.35,3.265,785160.0,0,Bremen
100,2003,5,98.85,2.9050000000000002,758700.0,0,Bremen
101,2003,6,39.35,2.9299999999999997,889380.0,0.0,Bremen
102,2003,7,91.1,2.9699999999999998,830340.0,0,Bremen
103,2003,8,35.55,3.035,912060.0,0,Bremen
104,2003,9,58.25,2.48,737640.0,0,Bremen
105,2003,10,48.55,2.87,531180.0,0,Bremen
106,2003,11,24.2,3.1,207360.0,0,Bremen
107,2003,12,71.25,3.4000000000000004,204480.0,0,Bremen
108,2004,1,94.5,3.1799999999999997,82440.0,0,Bremen
109,2004,2,59.400000000000006,3.55,280440.0,0,Bremen
110,2004,3,34.8,3.355,432720.0,0,Bremen
111,2004,4,34.95,2.935,692460.0,0,Bremen
