,Year,Month,CLIMATE_SUMMARY.PRECIPITATION_HEIGHT,CLIMATE_SUMMARY.WIND_FORCE_BEAUFORT,CLIMATE_SUMMARY.SUNSHINE_DURATION,nFires,state
0,1995,1,102.66,2.9625000000000004,218880.0,0,Hamburg
1,1995,2,101.85999999999999,3.2624999999999997,210600.0,0,Hamburg
2,1995,3,99.16,3.66,473220.0,0,Hamburg
3,1995,4,48.760000000000005,2.65,637200.0,0,Hamburg
4,1995,5,49.18,2.245,813420.0,0,Hamburg
5,1995,6,40.7,2.355,686700.0,0.0,Hamburg
6,1995,7,41.64,2.3,1064160.0,0,Hamburg
7,1995,8,57.64,2.1325,1071360.0,0,Hamburg
8,1995,9,111.8,2.4875,442440.0,0,Hamburg
9,1995,10,20.5,1.9975,429660.0,0,Hamburg
10,1995,11,34.839999999999996,2.325,243000.0,0,Hamburg
11,1995,12,23.2,2.0975,169560.0,0,Hamburg
12,1996,1,0.58,2.8225,273060.0,0,Hamburg
13,1996,2,42.480000000000004,2.735,250200.0,0,Hamburg
14,1996,3,8.76,2.508,506160.0,0,Hamburg
15,1996,4,26.7,1.6150000000000002,672840.0,0,Hamburg
16,1996,5,67.35999999999999,1.9375,426960.0,0,Hamburg
17,1996,6,29.7,2.23,583740.0,0.0,Hamburg
18,1996,7,52.85,2.065,588240.0,0,Hamburg
19,1996,8,58.660000000000004,2.0439999999999996,806400.0,0,Hamburg
20,1996,9,28.375,1.9175,616680.0,0,Hamburg
21,1996,10,65.875,1.7975,401760.0,0,Hamburg
22,1996,11,86.725,2.0525,135720.0,0,Hamburg
23,1996,12,31.375,1.6025,194760.0,0,Hamburg
24,1997,1,7.2,1.7899999999999998,275760.0,0,Hamburg
25,1997,2,77.9,2.6675,221400.0,0,Hamburg
26,1997,3,44.82,1.97,408240.0,0,Hamburg
27,1997,4,35.17999999999999,2.1475,597600.0,0,Hamburg
28,1997,5,90.8,1.9375,666360.0,0,Hamburg
29,1997,6,79.78,1.9300000000000002,849960.0,0.0,Hamburg
30,1997,7,97.58,1.705,791280.0,0,Hamburg
31,1997,8,50.86,1.4075,883440.0,0,Hamburg
32,1997,9,27.8,1.6375,497160.0,0,Hamburg
33,1997,10,55.4,1.94,389880.0,0,Hamburg
34,1997,11,42.660000000000004,1.795,169200.0,0,Hamburg
35,1997,12,62.0,2.06,83520.0,0,Hamburg
36,1998,1,83.58,2.65,224280.0,0,Hamburg
37,1998,2,27.339999999999996,2.886,189180.0,0,Hamburg
38,1998,3,74.5,2.0375,420840.0,0,Hamburg
39,1998,4,82.78,1.7025,330120.0,0,Hamburg
40,1998,5,24.060000000000002,1.9375,903420.0,0,Hamburg
41,1998,6,125.64000000000001,1.88,561960.0,0.0,Hamburg
42,1998,7,95.88000000000001,2.612,591480.0,0,Hamburg
43,1998,8,89.38,1.905,616140.0,0,Hamburg
44,1998,9,62.879999999999995,1.5425,253440.00000000003,0,Hamburg
45,1998,10,164.76,3.336,246959.99999999997,0,Hamburg
46,1998,11,60.96,1.3675,163080.0,0,Hamburg
47,1998,12,80.22,2.025,188640.0,0,Hamburg
48,1999,1,78.52000000000001,2.508,137520.0,0,Hamburg
49,1999,2,66.14,2.574,176400.0,0,Hamburg
50,1999,3,46.42,1.66,383400.0,0,Hamburg
51,1999,4,28.639999999999997,1.835,616680.0,0,Hamburg
52,1999,5,42.04,1.6875,802440.0,0,Hamburg
53,1999,6,46.96,1.6275,791640.0,0.0,Hamburg
54,1999,7,30.02,1.85,941039.9999999999,0,Hamburg
55,1999,8,58.8,1.6675,636840.0,0,Hamburg
56,1999,9,29.060000000000002,2.1100000000000003,753840.0,0,Hamburg
57,1999,10,31.72,2.0875,402120.0,0,Hamburg
58,1999,11,29.76,1.675,215280.0,0,Hamburg
59,1999,12,163.04000000000002,2.395,129600.0,0,Hamburg
60,2000,1,60.779999999999994,2.25,203400.0,0,Hamburg
61,2000,2,84.17999999999999,2.2775,209520.0,0,Hamburg
62,2000,3,105.55,2.15,222120.0,0,Hamburg
63,2000,4,25.3,1.6099999999999999,548280.0,0,Hamburg
64,2000,5,33.575,1.76,1045800.0,0,Hamburg
65,2000,6,70.325,2.0475,668880.0,0.0,Hamburg
66,2000,7,54.075,1.7525,406440.0,0,Hamburg
67,2000,8,85.325,1.4975,772440.0,0,Hamburg
68,2000,9,61.025000000000006,1.77,443520.0,0,Hamburg
69,2000,10,38.275,1.9675,305280.0,0,Hamburg
70,2000,11,28.225,1.845,198000.0,0,Hamburg
71,2000,12,50.85,1.945,145440.0,0,Hamburg
72,2001,1,43.1,1.5975,92520.0,0,Hamburg
73,2001,2,51.05,1.945,254160.0,0,Hamburg
74,2001,3,51.449999999999996,2.0949999999999998,340560.0,0,Hamburg
75,2001,4,68.175,1.6575,420840.0,0,Hamburg
76,2001,5,42.275,1.7349999999999999,1084800.0,0,Hamburg
77,2001,6,124.475,1.7725,720540.0,0.0,Hamburg
78,2001,7,65.725,2.084,948120.0,0,Hamburg
79,2001,8,113.125,2.2359999999999998,762120.0,0,Hamburg
80,2001,9,198.375,1.755,301800.0,0,Hamburg
81,2001,10,41.55,2.6399999999999997,309600.0,0,Hamburg
82,2001,11,61.475,1.755,168300.0,0,Hamburg
83,2001,12,96.64999999999999,1.79,166140.0,0,Hamburg
84,2002,1,65.45,2.34,130679.99999999999,0,Hamburg
85,2002,2,136.525,2.525,350040.0,0,Hamburg
86,2002,3,57.9,2.0275,516000.0,0,Hamburg
87,2002,4,58.025,2.126,562680.0,0,Hamburg
88,2002,5,70.425,1.815,757800.0,0,Hamburg
89,2002,6,92.075,2.564,794160.0,0.0,Hamburg
90,2002,7,157.975,1.8975,544320.0,0,Hamburg
91,2002,8,110.075,2.1933333333333334,821040.0,0,Hamburg
92,2002,9,21.25,1.6800000000000002,622320.0,0,Hamburg
93,2002,10,121.3,2.2025,326160.0,0,Hamburg
94,2002,11,82.225,1.68,132840.0,0,Hamburg
95,2002,12,28.3,1.99,149040.0,0,Hamburg
96,2003,1,65.5,1.9449999999999998,101520.0,0,Hamburg
97,2003,2,8.175,1.6724999999999999,360360.0,0,Hamburg
98,2003,3,29.925,2.238,597960.0,0,Hamburg
99,2003,4,52.75,2.025,828540.0,0,Hamburg
100,2003,5,74.32499999999999,2.11,856440.0,0,Hamburg
101,2003,6,40.325,2.368,899280.0,0.0,Hamburg
102,2003,7,48.2,1.8425,762840.0,0,Hamburg
103,2003,8,43.55,1.7475,836640.0,0,Hamburg
104,2003,9,62.025,1.49,805320.0,0,Hamburg
105,2003,10,49.075,1.655,499680.0,0,Hamburg
106,2003,11,33.35,1.9100000000000001,185400.0,0,Hamburg
107,2003,12,62.15,2.1275,219240.0,0,Hamburg
108,2004,1,93.6,2.005,68760.0,0,Hamburg
109,2004,2,73.125,2.06,291960.0,0,Hamburg
110,2004,3,44.175,2.0525,419040.0,0,Hamburg
111,2004,4,35.375,1.755,664920.0,0,Hamburg
112,2004,5,36.7,1.9875,705060.0,0,Hamburg
113,2004,6,93.175,2.1799999999999997,639180.0,0.0,Hamburg
114,2004,7,110.625,1.9124999999999999,721320.0,0,Hamburg
115,2004,8,58.3,1.9449999999999998,811080.0,0,Hamburg
116,2004,9,88.4,2.04,668520.0,0,Hamburg
117,2004,10,38.2,2.105,404640.0,0,Hamburg
118,2004,11,90.825,1.825,227700.0,0,Hamburg
119,2004,12,36.3,2.0700000000000003,144180.0,0,Hamburg
120,2005,1,70.8,2.6075,189720.0,0,Hamburg
121,2005,2,48.725,2.1825,237959.99999999997,0,Hamburg
122,2005,3,44.425,2.2175000000000002,460080.0,0,Hamburg
123,2005,4,36.0,2.055,766080.0,0,Hamburg
124,2005,5,58.849999999999994,2.065,842220.0,0,Hamburg
125,2005,6,52.3,2.6750000000000003,983520.0,0.0,Hamburg
