,Year,Month,CLIMATE_SUMMARY.PRECIPITATION_HEIGHT,CLIMATE_SUMMARY.WIND_FORCE_BEAUFORT,CLIMATE_SUMMARY.SUNSHINE_DURATION,nFires,state
0,1995,1,166.4294117647059,2.4394117647058824,159145.7142857143,0,Rheinland-Pfalz
1,1995,2,79.20882352941176,2.391764705882353,188614.2857142857,0,Rheinland-Pfalz
2,1995,3,91.709375,2.3840624999999998,506658.46153846156,2,Rheinland-Pfalz
3,1995,4,66.890625,1.9259375,459249.23076923075,0,Rheinland-Pfalz
4,1995,5,60.76875,1.7271875,768073.8461538461,3,Rheinland-Pfalz
5,1995,6,50.728125,1.7446875,632492.3076923077,4.0,Rheinland-Pfalz
6,1995,7,79.896875,1.5796875,965298.4615384615,17,Rheinland-Pfalz
7,1995,8,62.1375,1.6640625,836778.4615384615,16,Rheinland-Pfalz
8,1995,9,81.296875,1.8759375,344381.53846153844,3,Rheinland-Pfalz
9,1995,10,29.615625,1.341875,353935.3846153846,0,Rheinland-Pfalz
10,1995,11,42.73030303030303,1.6563636363636365,223662.85714285713,0,Rheinland-Pfalz
11,1995,12,54.93333333333333,1.8006060606060608,97148.57142857143,0,Rheinland-Pfalz
12,1996,1,7.769696969696969,1.8543749999999999,155777.14285714287,0,Rheinland-Pfalz
13,1996,2,56.47575757575758,1.9272727272727272,217495.38461538462,0,Rheinland-Pfalz
14,1996,3,22.506060606060608,1.788181818181818,466975.3846153846,8,Rheinland-Pfalz
15,1996,4,13.530303030303031,1.6530303030303028,778901.5384615385,44,Rheinland-Pfalz
16,1996,5,77.08181818181818,1.9465625,463043.07692307694,8,Rheinland-Pfalz
17,1996,6,33.46060606060606,1.6757575757575758,807258.4615384615,6.0,Rheinland-Pfalz
18,1996,7,62.04848484848485,1.8563636363636362,845588.5714285715,10,Rheinland-Pfalz
19,1996,8,62.827272727272735,1.7557575757575756,723137.1428571428,8,Rheinland-Pfalz
20,1996,9,31.46969696969697,1.7206060606060607,485254.28571428574,2,Rheinland-Pfalz
21,1996,10,78.11515151515152,1.6984848484848485,339994.28571428574,1,Rheinland-Pfalz
22,1996,11,98.37272727272727,2.0739393939393937,94525.71428571429,0,Rheinland-Pfalz
23,1996,12,44.74545454545454,1.6930303030303029,156240.0,0,Rheinland-Pfalz
24,1997,1,19.66060606060606,1.2863636363636362,156857.14285714287,0,Rheinland-Pfalz
25,1997,2,94.18484848484849,2.4939393939393937,244002.85714285713,0,Rheinland-Pfalz
26,1997,3,35.96363636363636,1.8233333333333335,458588.5714285714,12,Rheinland-Pfalz
27,1997,4,32.878125,1.9271875,720205.7142857143,14,Rheinland-Pfalz
28,1997,5,65.534375,1.900625,853508.5714285715,4,Rheinland-Pfalz
29,1997,6,116.53125,1.8534375,639360.0,4.0,Rheinland-Pfalz
30,1997,7,62.81875,1.5615625,746382.8571428572,5,Rheinland-Pfalz
31,1997,8,32.016129032258064,1.4658064516129032,878117.1428571428,7,Rheinland-Pfalz
32,1997,9,22.67,1.4893333333333334,774411.4285714285,7,Rheinland-Pfalz
33,1997,10,58.17333333333333,1.9613333333333332,453805.71428571426,2,Rheinland-Pfalz
34,1997,11,70.26,1.7826666666666666,205174.2857142857,0,Rheinland-Pfalz
35,1997,12,85.83333333333333,2.1733333333333333,95271.42857142857,0,Rheinland-Pfalz
36,1998,1,65.19,2.3939999999999997,194510.76923076922,0,Rheinland-Pfalz
37,1998,2,10.5,1.7186666666666668,382901.53846153844,1,Rheinland-Pfalz
38,1998,3,57.806666666666665,2.222,417960.0,9,Rheinland-Pfalz
39,1998,4,101.04333333333334,1.9796666666666667,369664.6153846154,7,Rheinland-Pfalz
40,1998,5,51.190000000000005,1.7543333333333335,771258.4615384615,7,Rheinland-Pfalz
41,1998,6,58.4,1.8193103448275862,723000.0,2.0,Rheinland-Pfalz
42,1998,7,57.12068965517241,1.989,530584.6153846154,6,Rheinland-Pfalz
43,1998,8,39.31666666666667,1.6153333333333333,791196.9230769231,45,Rheinland-Pfalz
44,1998,9,123.64666666666668,1.9348387096774193,349020.0,0,Rheinland-Pfalz
45,1998,10,178.2225806451613,2.3784375,168360.0,0,Rheinland-Pfalz
46,1998,11,58.1,1.7328125,187320.0,0,Rheinland-Pfalz
47,1998,12,50.724242424242426,1.9015151515151516,105369.23076923077,0,Rheinland-Pfalz
48,1999,1,71.953125,2.2090625,183625.7142857143,0,Rheinland-Pfalz
49,1999,2,75.3258064516129,2.153,223920.0,0,Rheinland-Pfalz
50,1999,3,71.86129032258064,1.9683333333333333,396664.6153846154,0,Rheinland-Pfalz
51,1999,4,61.987096774193546,1.867,561932.3076923077,0,Rheinland-Pfalz
52,1999,5,37.1483870967742,1.7954838709677419,710280.0,1,Rheinland-Pfalz
53,1999,6,69.88387096774194,1.814,748273.8461538461,5.0,Rheinland-Pfalz
54,1999,7,63.60645161290322,1.7486666666666666,877808.5714285715,17,Rheinland-Pfalz
55,1999,8,61.846666666666664,1.6796666666666666,687212.3076923077,23,Rheinland-Pfalz
56,1999,9,50.85666666666667,1.696896551724138,643860.0,19,Rheinland-Pfalz
57,1999,10,53.31333333333334,1.9143333333333332,422177.14285714284,0,Rheinland-Pfalz
58,1999,11,50.9,1.8035483870967741,169457.14285714287,0,Rheinland-Pfalz
59,1999,12,144.99333333333334,2.655806451612903,87341.53846153847,0,Rheinland-Pfalz
60,2000,1,43.48275862068966,2.018333333333333,158732.3076923077,0,Rheinland-Pfalz
61,2000,2,80.62222222222223,2.2739285714285713,270900.0,0,Rheinland-Pfalz
62,2000,3,76.65555555555555,2.2210714285714284,294923.07692307694,0,Rheinland-Pfalz
63,2000,4,40.34074074074074,1.896551724137931,629177.1428571428,0,Rheinland-Pfalz
64,2000,5,89.47142857142856,1.839,654891.4285714285,1,Rheinland-Pfalz
65,2000,6,46.44137931034483,1.8106896551724136,957214.2857142857,5.0,Rheinland-Pfalz
66,2000,7,165.82142857142858,1.9328125,464940.0,11,Rheinland-Pfalz
67,2000,8,62.07666666666667,1.524,877628.5714285715,20,Rheinland-Pfalz
68,2000,9,113.91428571428571,1.7117241379310344,417912.0,8,Rheinland-Pfalz
69,2000,10,66.4793103448276,2.103103448275862,259945.7142857143,0,Rheinland-Pfalz
70,2000,11,80.175,2.2285714285714286,120600.0,0,Rheinland-Pfalz
71,2000,12,67.03333333333333,2.095666666666667,144694.2857142857,0,Rheinland-Pfalz
72,2001,1,83.39999999999999,1.9863333333333333,210240.0,0,Rheinland-Pfalz
73,2001,2,65.63793103448276,2.1416129032258064,274705.71428571426,0,Rheinland-Pfalz
74,2001,3,129.36666666666667,2.0843333333333334,213812.3076923077,0,Rheinland-Pfalz
75,2001,4,91.17777777777779,2.0859259259259257,437890.9090909091,0,Rheinland-Pfalz
76,2001,5,17.803703703703704,2.1659259259259263,901384.6153846154,5,Rheinland-Pfalz
77,2001,6,67.6037037037037,1.9189655172413793,726646.1538461539,5.0,Rheinland-Pfalz
78,2001,7,63.266666666666666,1.9520689655172414,841320.0,8,Rheinland-Pfalz
79,2001,8,53.38148148148148,1.82875,785622.8571428572,7,Rheinland-Pfalz
80,2001,9,100.38888888888889,2.14375,280606.1538461539,0,Rheinland-Pfalz
81,2001,10,51.26296296296296,1.879,377390.76923076925,0,Rheinland-Pfalz
82,2001,11,104.56551724137931,1.784137931034483,234797.14285714287,0,Rheinland-Pfalz
83,2001,12,61.681481481481484,2.285,178003.63636363635,0,Rheinland-Pfalz
84,2002,1,42.76206896551724,2.163,197511.42857142858,0,Rheinland-Pfalz
85,2002,2,145.5,3.15375,274126.1538461539,0,Rheinland-Pfalz
86,2002,3,62.95862068965517,1.968,486660.0,1,Rheinland-Pfalz
87,2002,4,50.19642857142857,2.1083333333333334,657150.0,10,Rheinland-Pfalz
88,2002,5,69.98275862068965,1.8526666666666667,612462.8571428572,8,Rheinland-Pfalz
89,2002,6,38.59285714285714,1.9309677419354838,764922.8571428572,19.0,Rheinland-Pfalz
90,2002,7,94.02758620689656,1.9223333333333334,570710.7692307692,8,Rheinland-Pfalz
91,2002,8,88.72068965517242,1.5693103448275862,567411.4285714285,13,Rheinland-Pfalz
92,2002,9,31.56206896551724,1.7175862068965517,616872.0,5,Rheinland-Pfalz
93,2002,10,104.68275862068967,2.297741935483871,279432.0,1,Rheinland-Pfalz
94,2002,11,106.98461538461538,1.7692857142857144,105608.57142857143,0,Rheinland-Pfalz
95,2002,12,77.45384615384616,2.02037037037037,124020.0,0,Rheinland-Pfalz
96,2003,1,96.104,2.273214285714286,189055.38461538462,0,Rheinland-Pfalz
97,2003,2,19.44,1.9122222222222223,521030.76923076925,0,Rheinland-Pfalz
98,2003,3,29.112,1.8713793103448275,663867.6923076923,19,Rheinland-Pfalz
99,2003,4,38.88,2.1510714285714285,777738.4615384615,30,Rheinland-Pfalz
100,2003,5,73.32307692307691,1.9875862068965517,703080.0,5,Rheinland-Pfalz
101,2003,6,51.88399999999999,1.7337037037037037,1008330.0,10.0,Rheinland-Pfalz
102,2003,7,46.5,1.8228571428571427,864027.6923076923,25,Rheinland-Pfalz
103,2003,8,37.762499999999996,1.6184,1024590.0,45,Rheinland-Pfalz
104,2003,9,42.95769230769231,1.6448148148148147,806233.8461538461,18,Rheinland-Pfalz
105,2003,10,62.025,2.1110714285714285,376680.0,1,Rheinland-Pfalz
106,2003,11,46.57826086956521,1.965217391304348,245931.42857142858,0,Rheinland-Pfalz
107,2003,12,50.71363636363637,2.139090909090909,205320.0,0,Rheinland-Pfalz
108,2004,1,98.96190476190475,2.4175999999999997,102927.27272727272,0,Rheinland-Pfalz
109,2004,2,35.65217391304348,2.260869565217391,219180.0,1,Rheinland-Pfalz
110,2004,3,35.147619047619045,2.1075,500040.0,3,Rheinland-Pfalz
111,2004,4,44.73809523809524,2.06625,646952.7272727273,8,Rheinland-Pfalz
112,2004,5,64.16190476190475,1.892,755970.0,6,Rheinland-Pfalz
113,2004,6,48.62380952380953,2.010869565217391,740670.0,6.0,Rheinland-Pfalz
114,2004,7,81.69565217391305,1.9016,675540.0,3,Rheinland-Pfalz
115,2004,8,130.30833333333334,2.0125,659777.1428571428,7,Rheinland-Pfalz
116,2004,9,47.76666666666667,2.131111111111111,678184.6153846154,1,Rheinland-Pfalz
117,2004,10,51.54,2.0633333333333335,338682.85714285716,0,Rheinland-Pfalz
118,2004,11,52.24166666666667,1.9335714285714285,158483.07692307694,0,Rheinland-Pfalz
119,2004,12,39.65833333333333,1.8312,156469.0909090909,0,Rheinland-Pfalz
120,2005,1,53.092,2.524814814814815,218310.0,0,Rheinland-Pfalz
121,2005,2,61.76,2.1685185185185185,245215.38461538462,0,Rheinland-Pfalz
122,2005,3,39.148,1.8728571428571428,410708.5714285714,0,Rheinland-Pfalz
123,2005,4,71.404,1.8923333333333334,571551.4285714285,1,Rheinland-Pfalz
124,2005,5,73.62758620689655,1.969,732162.8571428572,1,Rheinland-Pfalz
125,2005,6,45.03333333333334,1.8413333333333335,871560.0,4.0,Rheinland-Pfalz
126,2005,7,61.074999999999996,1.9473333333333334,755667.6923076923,1,Rheinland-Pfalz
127,2005,8,58.55333333333333,1.8546875,662952.0,1,Rheinland-Pfalz
128,2005,9,51.63666666666666,1.6915625,705265.7142857143,2,Rheinland-Pfalz
129,2005,10,37.830000000000005,1.8864516129032256,563062.5,0,Rheinland-Pfalz
130,2005,11,41.556666666666665,1.971290322580645,210805.7142857143,0,Rheinland-Pfalz
131,2005,12,60.03666666666666,2.016451612903226,122880.0,0,Rheinland-Pfalz
132,2006,1,22.98148148148148,1.877,290100.0,0,Rheinland-Pfalz
133,2006,2,48.050000000000004,2.1216129032258064,141701.53846153847,0,Rheinland-Pfalz
134,2006,3,76.02758620689656,2.3280645161290323,423668.5714285714,1,Rheinland-Pfalz
135,2006,4,43.644444444444446,2.03,547560.0,1,Rheinland-Pfalz
136,2006,5,93.67142857142858,2.3472413793103444,673393.8461538461,4,Rheinland-Pfalz
137,2006,6,36.32142857142857,1.8743333333333332,995372.3076923077,5.0,Rheinland-Pfalz
138,2006,7,38.01428571428572,1.774642857142857,1156380.0,12,Rheinland-Pfalz
139,2006,8,137.85172413793103,1.9796774193548385,415285.71428571426,7,Rheinland-Pfalz
140,2006,9,29.362068965517242,1.7489999999999999,691670.7692307692,2,Rheinland-Pfalz
141,2006,10,70.14827586206897,2.0483333333333333,433273.8461538461,0,Rheinland-Pfalz
142,2006,11,51.720689655172414,2.241,214122.85714285713,0,Rheinland-Pfalz
143,2006,12,50.4,2.223225806451613,170897.14285714287,0,Rheinland-Pfalz
144,2007,1,71.20344827586207,2.8509677419354835,134228.57142857142,0,Rheinland-Pfalz
145,2007,2,82.01034482758621,2.079354838709677,224717.14285714287,0,Rheinland-Pfalz
146,2007,3,64.47241379310346,2.2006451612903226,560417.1428571428,0,Rheinland-Pfalz
147,2007,4,0.4413793103448275,1.8763333333333334,1140248.5714285714,25,Rheinland-Pfalz
148,2007,5,92.71379310344827,2.262,682662.8571428572,4,Rheinland-Pfalz
149,2007,6,99.83448275862068,1.983103448275862,608289.2307692308,1.0,Rheinland-Pfalz
150,2007,7,76.98275862068965,2.284838709677419,727366.1538461539,3,Rheinland-Pfalz
151,2007,8,82.89310344827587,1.8554838709677421,689898.4615384615,1,Rheinland-Pfalz
152,2007,9,66.4448275862069,1.8506666666666667,502116.92307692306,0,Rheinland-Pfalz
153,2007,10,18.313793103448276,1.6819354838709677,469495.3846153846,0,Rheinland-Pfalz
154,2007,11,63.06206896551724,2.0763333333333334,125224.61538461539,0,Rheinland-Pfalz
155,2007,12,67.0551724137931,2.2206451612903226,208190.76923076922,0,Rheinland-Pfalz
156,2008,1,48.16896551724138,2.398064516129032,153060.92307692306,0,Rheinland-Pfalz
157,2008,2,62.635714285714286,2.0643333333333334,492092.3076923077,0,Rheinland-Pfalz
158,2008,3,91.24642857142858,2.642333333333333,258646.15384615384,0,Rheinland-Pfalz
159,2008,4,58.635714285714286,2.002666666666667,404003.07692307694,2,Rheinland-Pfalz
160,2008,5,41.05714285714286,2.0848275862068966,835249.8461538461,2,Rheinland-Pfalz
161,2008,6,64.66206896551725,1.9953571428571428,781169.5384615385,1.0,Rheinland-Pfalz
162,2008,7,76.56896551724138,2.0653571428571427,765913.8461538461,7,Rheinland-Pfalz
163,2008,8,65.2448275862069,2.0575862068965516,614935.3846153846,2,Rheinland-Pfalz
164,2008,9,56.858620689655176,1.9110714285714285,446242.1538461539,1,Rheinland-Pfalz
165,2008,10,61.61379310344827,1.900344827586207,301763.07692307694,0,Rheinland-Pfalz
166,2008,11,32.675862068965515,2.047586206896552,146658.46153846153,0,Rheinland-Pfalz
167,2008,12,45.51379310344827,1.9213793103448276,175901.53846153847,0,Rheinland-Pfalz
168,2009,1,43.234482758620686,1.9600000000000002,299547.6923076923,0,Rheinland-Pfalz
169,2009,2,51.286206896551725,2.0925925925925926,167732.3076923077,0,Rheinland-Pfalz
