,Year,Month,CLIMATE_SUMMARY.PRECIPITATION_HEIGHT,CLIMATE_SUMMARY.WIND_FORCE_BEAUFORT,CLIMATE_SUMMARY.SUNSHINE_DURATION,nFires,state
0,1995,1,238.38181818181818,2.19,182790.0,0,Saarland
1,1995,2,97.93636363636364,2.090909090909091,165960.0,1,Saarland
2,1995,3,122.39090909090909,2.0500000000000003,476640.0,0,Saarland
3,1995,4,91.39090909090909,1.5963636363636367,453330.0,3,Saarland
4,1995,5,82.17272727272727,1.4463636363636363,810000.0,3,Saarland
5,1995,6,46.86363636363637,1.4836363636363636,684720.0,0.0,Saarland
6,1995,7,89.46363636363637,1.3145454545454547,1033200.0,2,Saarland
7,1995,8,60.7,1.5327272727272727,871560.0,0,Saarland
8,1995,9,111.53636363636365,1.560909090909091,357120.0,0,Saarland
9,1995,10,44.70909090909091,1.0818181818181818,362700.0,0,Saarland
10,1995,11,49.08181818181818,1.4390909090909092,238140.0,0,Saarland
11,1995,12,86.37272727272727,1.7699999999999998,134460.0,0,Saarland
12,1996,1,12.109090909090908,1.8318181818181818,135270.0,0,Saarland
13,1996,2,74.56363636363636,1.7727272727272727,258570.0,0,Saarland
14,1996,3,19.21818181818182,1.7381818181818183,522630.0,4,Saarland
15,1996,4,13.545454545454545,1.5581818181818183,811440.0,4,Saarland
16,1996,5,77.50909090909092,1.831,479970.0,0,Saarland
17,1996,6,25.254545454545454,1.533,894600.0,0.0,Saarland
18,1996,7,68.37272727272727,1.729090909090909,943290.0,3,Saarland
19,1996,8,87.52727272727272,1.5345454545454544,711540.0,0,Saarland
20,1996,9,24.79090909090909,1.7063636363636363,544860.0,0,Saarland
21,1996,10,80.2909090909091,1.5472727272727271,333810.0,0,Saarland
22,1996,11,174.34545454545454,1.9236363636363636,58860.0,0,Saarland
23,1996,12,54.22727272727273,1.7510000000000001,173880.0,0,Saarland
24,1997,1,25.281818181818185,1.41,234000.0,0,Saarland
25,1997,2,143.52727272727273,2.3236363636363637,262980.0,0,Saarland
26,1997,3,35.45454545454545,1.6254545454545453,448650.0,0,Saarland
27,1997,4,24.77,1.9509999999999998,794880.0,9,Saarland
28,1997,5,80.5,1.8820000000000001,888660.0,1,Saarland
29,1997,6,173.26,1.857,638820.0,1.0,Saarland
30,1997,7,64.02727272727272,1.4118181818181819,824310.0,4,Saarland
31,1997,8,40.190909090909095,1.3427272727272728,891180.0,1,Saarland
32,1997,9,20.7,1.3890909090909092,882360.0,1,Saarland
33,1997,10,64.0909090909091,1.89,498060.0,2,Saarland
34,1997,11,92.9090909090909,1.7354545454545454,228150.0,0,Saarland
35,1997,12,117.5090909090909,2.016363636363636,85050.0,0,Saarland
36,1998,1,81.18181818181819,2.25,199260.0,0,Saarland
37,1998,2,9.427272727272728,1.4090909090909092,459540.0,0,Saarland
38,1998,3,56.209090909090904,1.8881818181818182,444060.0,1,Saarland
39,1998,4,144.79999999999998,1.7754545454545456,335340.0,0,Saarland
40,1998,5,63.25454545454546,1.6445454545454545,833220.0,1,Saarland
41,1998,6,56.59090909090909,1.6454545454545455,762720.0,0.0,Saarland
42,1998,7,62.14545454545455,1.670909090909091,549270.0,0,Saarland
43,1998,8,39.190909090909095,1.3499999999999999,887760.0,3,Saarland
44,1998,9,102.80909090909091,1.9527272727272729,349290.0,0,Saarland
45,1998,10,240.36999999999998,2.213,125010.0,0,Saarland
46,1998,11,75.02727272727272,1.4863636363636366,198450.0,0,Saarland
47,1998,12,64.83636363636364,1.789090909090909,110070.0,0,Saarland
48,1999,1,81.86363636363636,2.0654545454545454,210510.0,0,Saarland
49,1999,2,86.17272727272727,2.0236363636363635,221040.0,0,Saarland
50,1999,3,97.46363636363635,1.8063636363636364,422280.0,0,Saarland
51,1999,4,69.78999999999999,1.827,548640.0,1,Saarland
52,1999,5,40.699999999999996,1.6618181818181819,738990.0,2,Saarland
53,1999,6,79.13636363636364,1.7436363636363637,814950.0,1.0,Saarland
54,1999,7,60.35454545454545,1.810909090909091,913050.0,0,Saarland
55,1999,8,76.50909090909092,1.6700000000000002,733680.0,0,Saarland
56,1999,9,75.30909090909091,1.6245454545454547,632790.0,0,Saarland
57,1999,10,65.22,1.7129999999999999,423720.0,0,Saarland
58,1999,11,51.160000000000004,1.323,183420.0,0,Saarland
59,1999,12,219.66,2.143,68040.0,0,Saarland
60,2000,1,42.42727272727273,1.660909090909091,187740.0,0,Saarland
61,2000,2,107.38181818181819,1.8954545454545455,261630.0,0,Saarland
62,2000,3,80.5909090909091,1.8563636363636362,358650.0,0,Saarland
63,2000,4,54.74545454545455,1.7827272727272727,640260.0,0,Saarland
64,2000,5,94.22727272727273,1.5636363636363635,670860.0,0,Saarland
65,2000,6,36.5,1.4889999999999999,1038960.0,0.0,Saarland
66,2000,7,209.29000000000002,1.528888888888889,567480.0,0,Saarland
67,2000,8,64.82000000000001,1.1640000000000001,968400.0,0,Saarland
68,2000,9,141.79000000000002,1.334,469320.0,0,Saarland
69,2000,10,100.8,1.779090909090909,258120.0,0,Saarland
70,2000,11,127.2,1.624,101040.0,0,Saarland
71,2000,12,116.33333333333333,1.6211111111111112,102840.0,0,Saarland
72,2001,1,129.16,1.624,227040.0,0,Saarland
73,2001,2,75.39,1.511,281040.0,0,Saarland
74,2001,3,175.05,1.820909090909091,211800.0,0,Saarland
75,2001,4,106.78888888888889,1.8219999999999998,451680.0,0,Saarland
76,2001,5,28.51,1.8830000000000002,897024.0,0,Saarland
77,2001,6,48.09090909090909,1.6054545454545455,776610.0,0.0,Saarland
78,2001,7,102.92,1.6309999999999998,847800.0,0,Saarland
79,2001,8,81.09,1.4700000000000002,831480.0,1,Saarland
80,2001,9,118.27777777777777,1.6255555555555556,316800.0,0,Saarland
81,2001,10,63.58888888888888,1.64,376470.0,0,Saarland
82,2001,11,117.22222222222223,1.688,255000.0,0,Saarland
83,2001,12,99.65555555555555,2.127,264600.0,0,Saarland
84,2002,1,71.56666666666666,1.8255555555555556,187200.0,0,Saarland
85,2002,2,189.07,2.945,257220.0,1,Saarland
