,Year,Month,CLIMATE_SUMMARY.PRECIPITATION_HEIGHT,CLIMATE_SUMMARY.WIND_FORCE_BEAUFORT,CLIMATE_SUMMARY.SUNSHINE_DURATION,nFires,state
0,1995,1,86.13,2.9963157894736843,235145.45454545456,0,Sachsen-Anhalt
1,1995,2,65.795,3.153157894736842,271928.5714285714,0,Sachsen-Anhalt
2,1995,3,57.719047619047615,3.062777777777778,488250.0,6,Sachsen-Anhalt
3,1995,4,53.7,2.6495,511740.0,8,Sachsen-Anhalt
4,1995,5,57.3,2.295238095238095,768370.9090909091,18,Sachsen-Anhalt
5,1995,6,71.07619047619048,2.1669565217391304,659777.1428571428,7.0,Sachsen-Anhalt
6,1995,7,51.61428571428572,1.8715789473684212,1016363.0769230769,39,Sachsen-Anhalt
7,1995,8,53.36363636363637,2.065238095238095,920769.2307692308,114,Sachsen-Anhalt
8,1995,9,97.46363636363635,2.3705,423252.0,7,Sachsen-Anhalt
9,1995,10,11.704761904761904,1.843,477055.3846153846,1,Sachsen-Anhalt
10,1995,11,51.13181818181818,2.3847619047619046,231792.0,0,Sachsen-Anhalt
11,1995,12,31.822727272727274,2.034,111461.53846153847,0,Sachsen-Anhalt
12,1996,1,6.013636363636365,2.229090909090909,254545.7142857143,0,Sachsen-Anhalt
13,1996,2,40.28636363636363,2.4782608695652173,284708.5714285714,0,Sachsen-Anhalt
14,1996,3,17.331818181818182,2.43,350845.71428571426,16,Sachsen-Anhalt
15,1996,4,25.354545454545452,1.9939130434782608,674944.6153846154,65,Sachsen-Anhalt
16,1996,5,75.5409090909091,2.354285714285714,454790.76923076925,9,Sachsen-Anhalt
17,1996,6,33.086363636363636,2.1452380952380956,719869.0909090909,24.0,Sachsen-Anhalt
18,1996,7,87.84545454545454,2.399090909090909,645286.1538461539,6,Sachsen-Anhalt
19,1996,8,68.44090909090909,2.0636363636363635,680040.0,15,Sachsen-Anhalt
20,1996,9,47.25,2.4268181818181818,370272.0,2,Sachsen-Anhalt
21,1996,10,74.43181818181819,2.2022727272727276,320640.0,0,Sachsen-Anhalt
22,1996,11,68.63636363636364,2.6886363636363635,149095.38461538462,1,Sachsen-Anhalt
23,1996,12,33.195454545454545,2.0186956521739132,214756.36363636365,0,Sachsen-Anhalt
24,1997,1,16.04090909090909,1.9049999999999998,244728.0,0,Sachsen-Anhalt
25,1997,2,72.4090909090909,3.1768181818181818,326280.0,2,Sachsen-Anhalt
26,1997,3,44.39545454545455,2.4272727272727272,429545.45454545453,6,Sachsen-Anhalt
27,1997,4,34.89545454545455,2.752083333333333,617178.4615384615,22,Sachsen-Anhalt
28,1997,5,56.91363636363636,2.4239130434782608,795360.0,7,Sachsen-Anhalt
29,1997,6,46.377272727272725,2.308181818181818,882858.4615384615,29.0,Sachsen-Anhalt
30,1997,7,124.06190476190477,2.1036363636363635,692040.0,29,Sachsen-Anhalt
31,1997,8,46.11363636363637,1.749047619047619,916781.5384615385,43,Sachsen-Anhalt
32,1997,9,14.413636363636364,2.0878260869565217,723272.7272727273,13,Sachsen-Anhalt
33,1997,10,49.96818181818182,2.5482608695652176,449695.3846153846,4,Sachsen-Anhalt
34,1997,11,30.568181818181817,2.071,183932.3076923077,0,Sachsen-Anhalt
35,1997,12,87.48,2.681304347826087,112140.0,0,Sachsen-Anhalt
36,1998,1,52.924,2.8527272727272726,244661.53846153847,1,Sachsen-Anhalt
37,1998,2,16.33076923076923,2.9065217391304343,320544.0,6,Sachsen-Anhalt
38,1998,3,59.309090909090905,2.752,430272.0,8,Sachsen-Anhalt
39,1998,4,57.560869565217395,2.27,458086.1538461539,9,Sachsen-Anhalt
40,1998,5,37.08695652173913,2.2061904761904763,864951.4285714285,29,Sachsen-Anhalt
41,1998,6,84.91250000000001,2.3185714285714285,669030.0,10.0,Sachsen-Anhalt
42,1998,7,65.02608695652174,2.645,618092.3076923077,8,Sachsen-Anhalt
43,1998,8,61.729166666666664,2.43125,718920.0,29,Sachsen-Anhalt
44,1998,9,80.5125,2.039,337458.46153846156,1,Sachsen-Anhalt
45,1998,10,138.0590909090909,3.166818181818182,225294.54545454544,0,Sachsen-Anhalt
46,1998,11,50.88695652173914,2.0547619047619046,172410.0,0,Sachsen-Anhalt
47,1998,12,32.76521739130435,2.6972727272727273,256735.38461538462,0,Sachsen-Anhalt
48,1999,1,41.492,2.5995454545454546,200664.0,0,Sachsen-Anhalt
49,1999,2,58.68636363636363,2.856521739130435,233083.63636363635,0,Sachsen-Anhalt
50,1999,3,45.89090909090909,2.2166666666666663,382962.85714285716,0,Sachsen-Anhalt
51,1999,4,41.56086956521739,2.2027272727272726,587931.4285714285,3,Sachsen-Anhalt
52,1999,5,52.168,2.36375,869376.0,17,Sachsen-Anhalt
53,1999,6,67.72,2.0477272727272724,732738.4615384615,5.0,Sachsen-Anhalt
54,1999,7,50.144,2.1577272727272727,853225.7142857143,47,Sachsen-Anhalt
55,1999,8,48.81363636363637,2.1665217391304346,672590.7692307692,43,Sachsen-Anhalt
56,1999,9,32.79545454545455,2.0928571428571425,756936.0,31,Sachsen-Anhalt
57,1999,10,26.62173913043478,2.536190476190476,404149.0909090909,0,Sachsen-Anhalt
58,1999,11,49.47826086956522,2.1217391304347823,201073.84615384616,0,Sachsen-Anhalt
59,1999,12,78.04761904761905,3.285,143446.15384615384,0,Sachsen-Anhalt
60,2000,1,48.9952380952381,2.8814285714285712,253697.14285714287,0,Sachsen-Anhalt
61,2000,2,63.885000000000005,2.996818181818182,286740.0,1,Sachsen-Anhalt
62,2000,3,98.70454545454545,2.9486363636363637,270180.0,3,Sachsen-Anhalt
63,2000,4,35.90909090909091,2.2821052631578946,656803.6363636364,27,Sachsen-Anhalt
64,2000,5,39.25238095238095,2.225,1010945.4545454546,46,Sachsen-Anhalt
65,2000,6,44.17272727272728,2.4345,867810.0,52.0,Sachsen-Anhalt
66,2000,7,63.845000000000006,2.484736842105263,383400.0,10,Sachsen-Anhalt
67,2000,8,66.51818181818182,1.9528571428571428,833956.3636363636,13,Sachsen-Anhalt
68,2000,9,48.230000000000004,2.252105263157895,487000.0,4,Sachsen-Anhalt
69,2000,10,41.445,2.384210526315789,359869.0909090909,1,Sachsen-Anhalt
70,2000,11,27.995454545454546,2.498421052631579,284538.46153846156,1,Sachsen-Anhalt
71,2000,12,41.48571428571429,2.491578947368421,250680.0,0,Sachsen-Anhalt
72,2001,1,46.695454545454545,2.236666666666667,216110.76923076922,0,Sachsen-Anhalt
73,2001,2,37.80869565217392,2.6366666666666667,245520.0,1,Sachsen-Anhalt
74,2001,3,86.01,2.426,276525.0,0,Sachsen-Anhalt
75,2001,4,42.910000000000004,2.5040909090909094,465480.0,2,Sachsen-Anhalt
76,2001,5,33.32727272727273,2.399090909090909,992945.4545454546,29,Sachsen-Anhalt
77,2001,6,67.63,2.3682608695652174,611280.0,9.0,Sachsen-Anhalt
78,2001,7,95.21052631578948,2.222272727272727,884076.9230769231,17,Sachsen-Anhalt
79,2001,8,44.43478260869565,2.25,719018.1818181818,9,Sachsen-Anhalt
80,2001,9,117.45,2.5959090909090907,265577.14285714284,1,Sachsen-Anhalt
81,2001,10,33.60454545454545,2.3510526315789475,406560.0,0,Sachsen-Anhalt
82,2001,11,50.34090909090909,2.435238095238095,171840.0,0,Sachsen-Anhalt
83,2001,12,73.23333333333333,2.6861904761904762,110353.84615384616,0,Sachsen-Anhalt
84,2002,1,46.647368421052626,2.7715,277440.0,0,Sachsen-Anhalt
85,2002,2,83.86,3.4326315789473685,332967.0,0,Sachsen-Anhalt
86,2002,3,40.09,2.5568181818181817,380520.0,1,Sachsen-Anhalt
87,2002,4,50.965,2.361428571428571,543137.1428571428,21,Sachsen-Anhalt
88,2002,5,62.80476190476191,2.1404761904761904,612900.0,1,Sachsen-Anhalt
89,2002,6,55.665,2.356,708531.4285714285,11.0,Sachsen-Anhalt
90,2002,7,126.44500000000001,2.3863157894736844,560824.6153846154,0,Sachsen-Anhalt
91,2002,8,106.95,1.939047619047619,762248.5714285715,2,Sachsen-Anhalt
92,2002,9,44.63809523809524,2.123809523809524,576822.8571428572,8,Sachsen-Anhalt
93,2002,10,83.66666666666667,2.823,360664.6153846154,0,Sachsen-Anhalt
94,2002,11,107.88571428571429,2.125,180110.76923076922,0,Sachsen-Anhalt
95,2002,12,73.25555555555555,2.2245,164796.92307692306,0,Sachsen-Anhalt
96,2003,1,65.38333333333334,2.6655,178587.6923076923,0,Sachsen-Anhalt
97,2003,2,13.736842105263158,1.948,429316.36363636365,0,Sachsen-Anhalt
98,2003,3,22.722727272727273,2.224285714285714,579882.8571428572,13,Sachsen-Anhalt
99,2003,4,38.01052631578948,2.673,791250.0,29,Sachsen-Anhalt
100,2003,5,39.857142857142854,2.3445,778422.8571428572,14,Sachsen-Anhalt
101,2003,6,50.51111111111111,2.204705882352941,1056900.0,27.0,Sachsen-Anhalt
102,2003,7,53.645,2.2005,796962.8571428572,28,Sachsen-Anhalt
103,2003,8,23.061904761904763,2.1745,1015405.7142857143,67,Sachsen-Anhalt
104,2003,9,66.32777777777778,2.0865,678403.6363636364,10,Sachsen-Anhalt
105,2003,10,46.7952380952381,2.2942105263157897,409846.1538461539,0,Sachsen-Anhalt
106,2003,11,33.47,2.3728571428571428,287010.0,0,Sachsen-Anhalt
107,2003,12,50.93,2.6052631578947367,283808.5714285714,0,Sachsen-Anhalt
108,2004,1,88.38095238095238,2.51,146815.7142857143,0,Sachsen-Anhalt
109,2004,2,45.09047619047619,2.89,214881.42857142858,0,Sachsen-Anhalt
110,2004,3,38.30555555555556,2.6065,471782.76923076925,6,Sachsen-Anhalt
111,2004,4,35.25238095238095,2.1833333333333336,652624.6153846154,11,Sachsen-Anhalt
112,2004,5,68.095,2.241904761904762,530948.5714285715,11,Sachsen-Anhalt
113,2004,6,61.56818181818182,2.3976190476190475,647889.2307692308,0.0,Sachsen-Anhalt
114,2004,7,91.2,2.3035,724513.8461538461,2,Sachsen-Anhalt
115,2004,8,63.07000000000001,2.2842857142857143,823846.1538461539,14,Sachsen-Anhalt
116,2004,9,39.989999999999995,2.402857142857143,690120.0,3,Sachsen-Anhalt
