,Year,Month,CLIMATE_SUMMARY.PRECIPITATION_HEIGHT,CLIMATE_SUMMARY.WIND_FORCE_BEAUFORT,CLIMATE_SUMMARY.SUNSHINE_DURATION,nFires,state
0,1995,1,69.55,3.2247619047619045,164880.0,0,Sachsen
1,1995,2,44.895833333333336,3.2213636363636367,231729.23076923078,0,Sachsen
2,1995,3,50.10434782608696,3.0638095238095238,436647.2727272727,5,Sachsen
3,1995,4,92.34347826086957,2.722857142857143,372810.0,4,Sachsen
4,1995,5,95.08260869565218,2.175714285714286,758225.4545454546,9,Sachsen
5,1995,6,137.06666666666666,2.001904761904762,492036.92307692306,1.0,Sachsen
6,1995,7,70.30416666666666,1.8166666666666667,1029927.2727272727,10,Sachsen
7,1995,8,118.936,1.9163636363636363,862080.0,14,Sachsen
8,1995,9,89.904,2.3004545454545453,405840.0,0,Sachsen
9,1995,10,17.5625,1.95,501060.0,2,Sachsen
10,1995,11,89.368,2.473181818181818,218880.0,0,Sachsen
11,1995,12,42.958333333333336,2.3461904761904764,142980.0,0,Sachsen
12,1996,1,2.4250000000000003,2.427,307855.3846153846,0,Sachsen
13,1996,2,31.035999999999998,2.549545454545455,346110.0,0,Sachsen
14,1996,3,33.832,2.3945454545454545,400126.1538461539,5,Sachsen
15,1996,4,27.3,1.9736363636363636,715624.6153846154,55,Sachsen
16,1996,5,92.484,2.2154545454545453,418901.53846153844,1,Sachsen
17,1996,6,70.292,2.049545454545455,685855.3846153846,5.0,Sachsen
18,1996,7,132.536,2.2813636363636363,632850.0,1,Sachsen
19,1996,8,77.5,1.843181818181818,636300.0,5,Sachsen
20,1996,9,75.296,2.3695454545454546,220050.0,0,Sachsen
21,1996,10,60.288000000000004,2.1954545454545453,281850.0,0,Sachsen
22,1996,11,42.64,2.7154545454545453,103181.53846153847,0,Sachsen
23,1996,12,33.984,2.1522727272727273,286110.0,0,Sachsen
24,1997,1,15.216,2.0513636363636363,268260.0,0,Sachsen
25,1997,2,59.408,3.205454545454545,302940.0,0,Sachsen
26,1997,3,57.244,2.485,443190.0,4,Sachsen
27,1997,4,62.352,2.6695454545454544,559650.0,6,Sachsen
28,1997,5,59.236000000000004,2.3886363636363637,797953.8461538461,2,Sachsen
29,1997,6,57.09583333333333,2.1639130434782605,735341.5384615385,7.0,Sachsen
30,1997,7,142.704,2.006521739130435,612830.7692307692,1,Sachsen
31,1997,8,47.623999999999995,1.678695652173913,880781.5384615385,11,Sachsen
32,1997,9,26.827999999999996,1.8873913043478259,760347.6923076923,2,Sachsen
33,1997,10,64.15416666666667,2.522173913043478,397080.0,0,Sachsen
34,1997,11,23.708000000000002,2.1756521739130434,197220.0,3,Sachsen
35,1997,12,72.936,2.696086956521739,116640.0,0,Sachsen
36,1998,1,44.356,2.9004545454545454,258000.0,0,Sachsen
37,1998,2,29.291304347826088,2.805454545454545,313809.23076923075,4,Sachsen
38,1998,3,85.40434782608695,2.960952380952381,414090.0,6,Sachsen
39,1998,4,35.01304347826087,2.4085,505523.07692307694,19,Sachsen
40,1998,5,36.079166666666666,2.1218181818181816,788843.0769230769,22,Sachsen
41,1998,6,95.67391304347827,2.0722727272727273,658273.8461538461,10.0,Sachsen
42,1998,7,94.55652173913045,2.392857142857143,575833.8461538461,1,Sachsen
43,1998,8,83.19583333333334,2.296818181818182,748800.0,7,Sachsen
44,1998,9,108.82173913043479,2.15,390060.0,0,Sachsen
45,1998,10,109.85,2.9835000000000003,187726.15384615384,0,Sachsen
46,1998,11,65.69565217391305,2.3947368421052633,150701.53846153847,0,Sachsen
47,1998,12,39.68333333333333,2.950454545454545,255212.3076923077,0,Sachsen
48,1999,1,46.55416666666667,2.8790476190476193,262163.07692307694,0,Sachsen
49,1999,2,83.3875,3.025,202236.92307692306,0,Sachsen
50,1999,3,46.40833333333333,2.3204545454545453,387609.23076923075,0,Sachsen
51,1999,4,48.48333333333333,2.1031818181818185,508956.92307692306,2,Sachsen
52,1999,5,65.492,2.336086956521739,861120.0,17,Sachsen
53,1999,6,95.096,1.9486956521739132,563649.2307692308,2.0,Sachsen
54,1999,7,107.05000000000001,2.075833333333333,786908.5714285715,3,Sachsen
55,1999,8,44.788000000000004,2.029166666666667,700200.0,9,Sachsen
56,1999,9,40.353846153846156,2.0883333333333334,695648.5714285715,15,Sachsen
57,1999,10,37.296,2.670909090909091,354240.0,1,Sachsen
58,1999,11,56.324,2.2430434782608693,194040.0,0,Sachsen
59,1999,12,53.452,3.2995652173913044,120137.14285714286,0,Sachsen
60,2000,1,76.37083333333334,2.9936363636363637,208465.7142857143,0,Sachsen
61,2000,2,69.02916666666667,3.0868181818181815,217954.2857142857,0,Sachsen
62,2000,3,147.42083333333332,2.9645454545454544,229577.14285714287,0,Sachsen
63,2000,4,26.545833333333334,2.3222727272727273,706834.2857142857,10,Sachsen
64,2000,5,43.1,2.058181818181818,933994.2857142857,14,Sachsen
65,2000,6,47.62916666666666,2.312727272727273,908151.4285714285,39.0,Sachsen
66,2000,7,99.87916666666666,2.3404761904761906,356888.5714285714,2,Sachsen
