Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20231202
Jahr;autumn;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1881;autumn;     8.08;     8.06;     7.27;     6.43;     7.55;     7.98;     8.20;     8.20;     8.52;     7.86;     8.32;     7.96;     6.97;     7.88;     7.46;     6.92;     7.57;
1882;autumn;     9.20;     9.19;     8.49;     7.82;     8.67;     8.75;     8.94;     8.94;     9.24;     9.05;     8.99;     9.15;     8.47;     8.93;     8.53;     8.02;     8.64;
1883;autumn;     9.75;     9.74;     8.16;     7.48;     8.59;     9.27;     9.36;     9.36;     9.37;     8.72;     9.29;     8.77;     8.74;     9.47;     8.96;     8.33;     8.74;
1884;autumn;     8.56;     8.55;     7.52;     6.66;     7.87;     8.65;     8.76;     8.76;     8.87;     8.19;     8.84;     8.20;     7.57;     8.31;     7.78;     7.12;     7.96;
1885;autumn;     8.19;     8.18;     7.77;     7.20;     7.58;     7.48;     7.53;     7.53;     7.98;     7.89;     7.32;     8.03;     7.74;     7.86;     7.53;     7.11;     7.61;
1886;autumn;    10.35;    10.34;     9.77;     9.02;     9.92;    10.06;    10.30;    10.30;    10.70;    10.22;    10.06;    10.29;     9.72;    10.26;     9.83;     9.29;     9.91;
1887;autumn;     8.04;     8.02;     6.28;     5.81;     6.41;     7.79;     7.55;     7.56;     7.35;     6.61;     7.71;     6.62;     7.02;     7.58;     6.92;     6.09;     6.90;
1888;autumn;     7.95;     7.93;     7.35;     6.39;     7.28;     7.68;     7.86;     7.86;     8.19;     7.69;     7.86;     7.89;     7.08;     7.75;     7.25;     6.60;     7.40;
1889;autumn;     7.91;     7.90;     7.13;     6.38;     7.02;     7.88;     7.86;     7.86;     7.81;     7.25;     8.16;     7.43;     6.98;     7.68;     7.17;     6.52;     7.31;
1890;autumn;     8.46;     8.45;     7.17;     6.53;     7.77;     8.29;     8.36;     8.37;     8.51;     7.85;     8.50;     7.96;     7.44;     8.28;     7.77;     7.12;     7.73;
1891;autumn;     9.56;     9.54;     8.41;     7.67;     8.66;     9.31;     9.39;     9.40;     9.55;     8.75;     9.40;     8.96;     8.75;     9.36;     8.85;     8.21;     8.80;
1892;autumn;     8.27;     8.26;     8.54;     7.39;     7.87;     8.05;     8.31;     8.31;     9.03;     8.33;     8.09;     8.49;     7.80;     8.05;     7.70;     7.26;     8.08;
1893;autumn;     8.85;     8.85;     8.21;     7.37;     7.83;     8.41;     8.46;     8.47;     8.51;     8.04;     8.40;     8.17;     8.14;     8.62;     8.06;     7.36;     8.13;
