Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240302
Jahr;winter;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1882;winter;     1.63;     1.62;     0.05;    -0.76;     0.65;     1.74;     2.23;     2.23;     2.06;     0.82;     2.36;     1.06;     0.85;     1.58;     1.12;     0.54;     0.96;
1883;winter;     0.57;     0.56;     1.20;    -0.34;     1.33;     0.20;     1.52;     1.52;     2.48;     1.91;     0.81;     2.14;     0.06;     0.73;     0.55;     0.33;     0.85;
1884;winter;     2.55;     2.54;     1.62;     0.47;     2.20;     2.54;     3.24;     3.24;     3.41;     2.48;     3.02;     2.68;     1.56;     2.54;     2.14;     1.63;     2.12;
1885;winter;     0.93;     0.92;     0.23;    -1.11;     0.86;     0.96;     1.69;     1.69;     2.21;     1.38;     1.33;     1.62;     0.20;     0.69;     0.33;    -0.13;     0.62;
1886;winter;    -1.41;    -1.41;    -1.57;    -2.78;    -1.44;    -1.33;    -0.67;    -0.67;    -0.29;    -0.90;    -0.58;    -0.59;    -1.85;    -1.37;    -1.70;    -2.13;    -1.47;
1887;winter;    -0.85;    -0.86;    -1.77;    -2.99;    -1.32;    -0.72;    -0.14;    -0.14;     0.21;    -0.87;    -0.21;    -0.63;    -1.67;    -0.89;    -1.39;    -2.03;    -1.26;
1888;winter;    -1.36;    -1.37;    -2.15;    -3.27;    -1.86;    -1.29;    -0.77;    -0.76;    -0.74;    -1.44;    -0.58;    -1.29;    -2.22;    -1.30;    -1.83;    -2.51;    -1.76;
1889;winter;    -1.35;    -1.36;    -1.88;    -2.92;    -1.66;    -1.22;    -0.38;    -0.37;    -0.01;    -1.37;    -0.30;    -1.14;    -1.94;    -1.27;    -1.69;    -2.21;    -1.48;
1890;winter;    -0.34;    -0.36;    -1.23;    -2.21;    -0.80;    -0.28;     0.48;     0.48;     0.56;    -0.49;     0.58;    -0.26;    -1.29;    -0.31;    -0.84;    -1.50;    -0.70;
1891;winter;    -3.12;    -3.14;    -4.08;    -5.06;    -3.40;    -2.92;    -2.57;    -2.56;    -2.39;    -3.14;    -2.14;    -2.78;    -3.63;    -3.21;    -3.59;    -4.07;    -3.49;
1892;winter;     0.29;     0.28;     0.05;    -1.01;     0.24;    -0.12;     0.80;     0.79;     1.51;     0.63;     0.44;     0.92;    -0.10;     0.58;     0.12;    -0.47;     0.15;
1893;winter;    -2.61;    -2.62;    -2.50;    -4.04;    -2.32;    -2.75;    -1.22;    -1.23;    -0.68;    -1.81;    -1.98;    -1.49;    -2.85;    -2.13;    -2.56;    -3.10;    -2.43;
1894;winter;     0.56;     0.55;    -0.60;    -1.99;    -0.07;     0.59;     1.40;     1.40;     1.59;     0.17;     1.35;     0.31;    -0.29;     0.56;     0.00;    -0.71;     0.02;
1895;winter;    -2.73;    -2.74;    -4.68;    -5.47;    -3.61;    -2.45;    -2.00;    -1.99;    -1.96;    -3.40;    -1.83;    -3.20;    -3.60;    -2.78;    -3.40;    -4.18;    -3.44;
1896;winter;    -0.28;    -0.29;    -0.55;    -1.98;    -0.38;    -0.01;     0.80;     0.80;     0.97;     0.05;     0.94;     0.26;    -1.05;    -0.02;    -0.57;    -1.26;    -0.36;
1897;winter;    -1.44;    -1.45;     0.26;    -1.36;    -0.48;    -1.51;    -0.47;    -0.47;     0.54;     0.22;    -0.99;     0.62;    -1.22;    -1.02;    -1.27;    -1.59;    -0.72;
