Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230902
Jahr;summer;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1881;summer;   208.0;   207.8;   284.6;   285.1;   203.6;   193.2;   223.0;   223.3;   250.6;   206.2;   258.9;   210.1;   292.7;   206.6;   218.3;   233.1;   243.5;
1882;summer;   291.6;   291.2;   401.0;   404.9;   397.5;   250.0;   331.6;   330.5;   408.3;   361.0;   292.0;   372.5;   384.5;   297.5;   324.0;   357.2;   357.5;
1883;summer;   171.0;   171.1;   279.1;   304.8;   192.7;   183.3;   197.7;   197.5;   235.6;   206.7;   203.8;   219.6;   244.2;   151.7;   166.7;   185.7;   227.4;
1884;summer;   205.0;   204.7;   262.3;   320.6;   217.8;   182.3;   221.5;   220.7;   229.3;   197.8;   181.9;   197.7;   247.4;   201.8;   209.7;   219.7;   238.5;
1885;summer;   185.3;   185.2;   245.5;   226.3;   182.6;   170.7;   181.9;   181.2;   188.4;   212.3;   155.1;   216.2;   213.3;   178.5;   181.2;   184.5;   199.6;
1886;summer;   159.0;   158.7;   357.6;   376.9;   230.8;   128.5;   190.6;   190.2;   236.7;   222.5;   161.9;   207.0;   238.0;   162.5;   186.7;   217.2;   246.9;
1887;summer;   141.1;   141.0;   210.0;   202.4;   154.8;   125.5;   155.8;   155.3;   148.6;   149.3;   134.1;   183.7;   180.6;   145.6;   149.6;   154.5;   166.0;
1888;summer;   166.4;   166.4;   390.0;   384.4;   298.3;   231.2;   273.1;   273.8;   308.3;   328.0;   328.1;   349.7;   232.8;   154.4;   192.7;   240.9;   295.6;
1889;summer;   169.8;   169.6;   334.0;   332.1;   209.6;   201.6;   227.5;   227.8;   268.6;   228.8;   241.1;   237.9;   218.4;   162.2;   183.6;   210.5;   250.9;
1890;summer;   238.8;   238.7;   343.5;   419.7;   250.8;   239.1;   279.9;   281.0;   293.0;   249.6;   303.0;   242.3;   319.5;   225.0;   242.0;   263.5;   304.6;
1891;summer;   265.3;   265.5;   331.8;   350.7;   265.8;   258.7;   314.1;   314.1;   318.1;   280.5;   311.1;   268.0;   332.8;   274.4;   278.3;   283.3;   307.8;
1892;summer;   126.4;   126.4;   246.3;   309.1;   149.1;   171.7;   172.8;   172.5;   176.9;   163.2;   185.5;   155.4;   149.8;   124.3;   134.7;   147.8;   196.8;
1893;summer;   141.5;   141.8;   209.6;   262.9;   199.4;   135.1;   156.1;   156.2;   174.9;   179.4;   167.9;   185.1;   187.1;   140.6;   157.4;   178.6;   188.1;
1894;summer;   237.1;   237.1;   282.2;   336.7;   288.7;   223.9;   313.2;   312.7;   337.4;   216.8;   285.8;   193.1;   311.7;   250.9;   271.6;   297.6;   291.3;
1895;summer;   158.1;   158.4;   267.8;   296.9;   173.1;   198.5;   264.7;   265.0;   241.4;   193.4;   256.8;   218.2;   198.0;   194.5;   185.2;   173.6;   234.1;
1896;summer;   237.7;   237.4;   356.1;   402.8;   282.0;   233.0;   278.5;   278.0;   284.1;   269.9;   223.0;   263.3;   321.9;   257.8;   286.2;   322.0;   305.0;
1897;summer;   188.1;   188.4;   304.0;   386.9;   198.2;   171.4;   178.5;   178.7;   227.3;   222.7;   208.6;   265.4;   315.8;   180.4;   197.5;   219.1;   252.2;
1898;summer;   169.3;   169.2;   271.6;   282.3;   222.9;   181.3;   211.8;   211.4;   255.9;   242.0;   188.0;   199.3;   207.3;   169.5;   192.1;   220.6;   229.2;
1899;summer;   175.7;   176.4;   202.7;   221.0;   188.8;   144.8;   133.8;   133.3;   154.3;   162.3;   144.0;   153.3;   257.0;   176.3;   193.4;   214.8;   182.0;
1900;summer;   198.8;   198.9;   272.7;   248.0;   269.9;   196.4;   283.7;   283.0;   314.1;   235.3;   243.3;   177.6;   238.7;   214.5;   230.3;   250.1;   251.5;
1901;summer;   153.6;   154.2;   340.0;   327.8;   204.2;   162.0;   170.7;   170.6;   160.4;   211.0;   201.4;   208.4;   224.5;   142.7;   188.0;   245.0;   226.5;
1902;summer;   218.7;   219.3;   263.7;   284.3;   184.7;   194.2;   228.5;   228.6;   235.4;   168.7;   256.6;   184.3;   273.2;   222.9;   229.3;   237.3;   238.4;
1903;summer;   160.1;   160.6;   316.2;   311.0;   241.3;   210.9;   281.9;   282.2;   268.1;   245.9;   291.8;   270.0;   197.3;   160.0;   180.6;   206.6;   256.3;
1904;summer;    76.8;    76.4;   174.2;   171.9;   135.6;   103.5;   117.9;   118.0;   135.1;   167.5;   141.1;   173.0;    87.5;    85.6;    94.7;   106.2;   133.0;
