Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240302
Jahr;winter;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1882;winter;    62.3;    62.2;    93.8;    87.3;   106.1;    73.6;   116.5;   116.4;   144.4;   112.8;   124.3;   124.7;    74.5;    61.1;    71.7;    85.0;    96.4;
1883;winter;    90.6;    90.3;   217.3;   197.4;   170.6;    65.3;   111.6;   111.3;   199.5;   174.5;   110.4;   199.3;   138.0;    86.5;   108.7;   136.5;   151.3;
1884;winter;   131.7;   131.4;   192.1;   172.8;   185.9;   150.5;   201.7;   201.8;   232.0;   188.7;   241.2;   223.7;   148.2;   126.9;   142.1;   161.2;   179.9;
1885;winter;   117.7;   117.2;   211.2;   152.0;   183.3;   117.4;   166.3;   166.3;   230.4;   218.3;   191.8;   266.9;   134.4;   116.6;   130.8;   148.7;   167.2;
1886;winter;    83.3;    83.3;   197.4;   149.3;   125.5;    74.1;   110.4;   110.3;   156.1;   151.1;   121.7;   202.7;   115.2;    77.7;    88.5;   102.0;   128.9;
1887;winter;    72.0;    71.9;   203.8;   141.2;   130.9;    66.6;    89.7;    89.5;   129.3;   150.3;   112.1;   200.6;   104.2;    67.9;    85.2;   107.0;   120.0;
1888;winter;   128.7;   128.4;   193.8;   191.5;   155.5;   121.5;   147.7;   147.3;   192.3;   167.6;   147.6;   195.5;   149.3;   125.2;   135.0;   147.4;   162.6;
1889;winter;    90.0;    89.7;   136.7;   130.8;    94.6;    90.0;   123.2;   123.1;   130.3;   107.4;   105.4;   124.7;   105.3;    88.9;    93.4;    99.1;   114.4;
1890;winter;    94.2;    94.0;   135.6;   128.1;   162.1;    81.4;   120.6;   120.2;   181.7;   169.5;   100.5;   205.6;   109.7;    97.3;   107.6;   120.5;   127.6;
1891;winter;    64.1;    64.3;    47.1;    71.0;    64.4;    65.4;    68.0;    67.9;    85.1;    58.5;    63.3;    51.8;   100.8;    62.6;    71.6;    82.9;    68.6;
1892;winter;   124.7;   125.2;   261.6;   264.2;   191.8;   137.0;   192.5;   192.5;   233.8;   205.8;   201.0;   243.7;   186.8;   130.9;   157.3;   190.7;   205.6;
1893;winter;   154.7;   154.9;   187.9;   192.3;   181.1;   161.6;   176.6;   176.4;   217.6;   209.4;   186.3;   249.9;   207.2;   143.3;   160.1;   181.2;   184.7;
