Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20231202
Jahr;autumn;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1951;autumn;   465.3;   465.6;   377.0;   405.3;   377.6;   459.5;   401.4;   402.0;   370.2;   388.1;   410.8;   406.5;   423.6;   421.9;   407.2;   388.8;   406.1;
1952;autumn;   223.4;   223.6;   254.9;   231.4;   209.5;   284.9;   232.2;   232.7;   227.6;   244.2;   267.1;   253.3;   218.4;   222.6;   212.3;   199.3;   234.9;
1953;autumn;   397.0;   396.6;   399.9;   393.9;   351.1;   355.3;   313.5;   313.2;   331.7;   343.3;   292.3;   367.3;   396.9;   353.6;   353.6;   353.5;   361.6;
1954;autumn;   322.8;   322.8;   357.5;   355.8;   279.8;   294.1;   265.2;   264.9;   280.8;   295.0;   259.9;   300.3;   341.2;   296.1;   291.4;   285.4;   310.0;
1955;autumn;   342.2;   342.2;   363.5;   329.1;   331.7;   338.8;   313.3;   313.2;   330.0;   355.0;   329.9;   396.6;   336.8;   319.9;   319.0;   317.9;   333.9;
1956;autumn;   368.8;   369.2;   334.8;   340.9;   271.3;   363.0;   311.8;   312.4;   274.0;   287.5;   368.3;   323.8;   368.9;   335.7;   320.3;   301.0;   327.3;
1957;autumn;   269.7;   269.8;   341.4;   304.3;   238.6;   263.9;   238.0;   238.4;   226.3;   268.3;   273.7;   307.7;   284.6;   248.2;   245.7;   242.6;   272.0;
1958;autumn;   320.6;   320.5;   310.7;   286.3;   272.9;   315.2;   284.8;   284.9;   281.2;   283.8;   317.3;   293.9;   306.5;   292.4;   287.4;   281.1;   294.6;
1959;autumn;   486.8;   487.5;   506.7;   503.8;   488.5;   452.5;   441.9;   441.4;   490.5;   485.2;   444.6;   513.7;   538.2;   484.1;   496.5;   512.1;   486.1;
1960;autumn;   284.4;   284.7;   296.6;   313.5;   251.3;   302.4;   243.2;   243.6;   239.7;   256.6;   274.5;   252.8;   282.7;   267.9;   258.6;   246.9;   275.9;
1961;autumn;   379.8;   379.9;   409.9;   423.2;   329.7;   394.8;   302.3;   302.4;   307.9;   330.0;   355.1;   356.0;   383.4;   335.8;   338.5;   341.8;   364.1;
1962;autumn;   309.0;   309.6;   396.5;   399.2;   333.3;   312.9;   298.5;   298.5;   298.3;   346.9;   313.8;   373.9;   360.0;   321.3;   335.8;   354.0;   343.1;
