Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240602
Jahr;spring;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1951;spring;   552.1;   552.4;   489.6;   489.1;   506.3;   587.7;   511.0;   511.7;   489.1;   500.1;   551.2;   523.3;   540.9;   506.8;   501.9;   495.8;   512.5;
1952;spring;   571.3;   571.7;   522.7;   485.3;   525.5;   600.7;   554.5;   555.2;   514.7;   526.6;   599.9;   582.6;   515.2;   541.6;   523.1;   499.9;   532.0;
1953;spring;   706.2;   705.9;   689.0;   681.2;   660.6;   669.1;   582.3;   582.6;   558.6;   631.8;   607.9;   722.7;   684.1;   656.8;   660.5;   665.2;   649.5;
1954;spring;   578.3;   578.3;   503.0;   493.8;   560.4;   589.8;   542.1;   541.6;   531.5;   537.0;   542.8;   574.2;   536.4;   573.2;   557.4;   537.6;   536.0;
1955;spring;   537.8;   537.4;   573.6;   552.6;   552.5;   541.8;   511.5;   511.6;   497.3;   579.0;   548.1;   643.0;   507.7;   515.7;   509.3;   501.2;   537.1;
1956;spring;   508.0;   508.4;   528.5;   506.6;   522.0;   535.9;   487.6;   488.0;   450.6;   517.8;   554.5;   595.5;   495.7;   488.2;   486.5;   484.3;   504.7;
1957;spring;   619.4;   619.3;   563.0;   552.6;   599.9;   593.9;   555.1;   555.6;   550.4;   610.1;   596.1;   698.0;   579.8;   561.1;   559.5;   557.4;   573.3;
1958;spring;   400.7;   400.5;   495.7;   509.1;   466.2;   427.6;   421.4;   421.8;   441.3;   488.3;   468.9;   526.0;   397.7;   383.4;   395.9;   411.6;   452.2;
1959;spring;   637.0;   637.2;   548.6;   571.8;   554.7;   655.6;   549.1;   550.1;   531.7;   533.2;   649.9;   547.3;   595.6;   562.1;   554.5;   544.9;   573.1;
1960;spring;   518.5;   518.8;   494.8;   525.5;   497.6;   567.5;   469.4;   470.2;   469.1;   485.6;   550.3;   496.1;   500.5;   450.6;   452.7;   455.3;   499.9;
1961;spring;   458.8;   458.8;   463.6;   443.0;   391.3;   502.4;   369.2;   370.2;   350.8;   420.2;   508.6;   473.9;   394.1;   377.1;   370.8;   362.8;   420.6;
1962;spring;   442.4;   442.7;   474.4;   463.6;   428.3;   435.4;   363.4;   363.2;   335.1;   432.4;   435.3;   476.5;   412.3;   419.5;   414.5;   408.2;   422.6;
1963;spring;   531.7;   532.0;   429.1;   438.5;   434.8;   515.7;   426.2;   425.9;   399.2;   422.0;   422.9;   454.7;   456.9;   469.8;   461.1;   450.2;   446.7;
1964;spring;   511.2;   510.7;   464.9;   477.4;   463.4;   512.1;   484.5;   484.5;   464.7;   446.1;   485.8;   456.4;   483.5;   463.7;   462.2;   460.3;   477.4;
1965;spring;   457.0;   457.1;   375.6;   382.6;   388.0;   469.4;   411.4;   411.5;   391.3;   399.0;   446.1;   409.6;   419.5;   441.5;   429.9;   415.4;   409.5;
1966;spring;   493.2;   493.3;   478.5;   463.9;   449.8;   482.3;   431.7;   431.7;   424.8;   452.1;   449.9;   467.1;   465.9;   473.4;   464.6;   453.6;   459.1;
1967;spring;   543.1;   543.4;   500.7;   499.3;   490.8;   590.8;   501.6;   502.1;   484.2;   513.6;   539.3;   547.5;   489.4;   522.1;   506.8;   487.5;   510.7;
1968;spring;   552.6;   552.7;   516.1;   550.0;   525.8;   560.4;   513.9;   514.2;   480.4;   506.3;   561.3;   521.4;   534.9;   538.9;   536.6;   533.6;   530.3;
1969;spring;   471.7;   472.0;   456.3;   491.2;   425.7;   472.5;   426.1;   426.4;   432.7;   436.8;   474.6;   434.6;   464.0;   431.0;   428.2;   424.7;   454.6;
1970;spring;   417.0;   417.2;   365.8;   351.4;   358.0;   438.9;   384.8;   385.3;   362.4;   373.5;   434.9;   387.8;   360.3;   391.8;   372.2;   347.5;   377.9;
1971;spring;   541.7;   541.5;   491.6;   517.0;   500.5;   569.9;   478.6;   479.0;   490.0;   500.4;   533.0;   519.4;   475.1;   476.2;   474.1;   471.5;   504.5;
1972;spring;   431.9;   431.8;   413.6;   417.2;   417.8;   454.7;   435.9;   436.1;   434.8;   433.3;   468.3;   430.2;   395.1;   416.9;   411.3;   404.2;   426.2;
1973;spring;   471.0;   470.9;   497.2;   491.2;   476.9;   495.9;   443.5;   444.3;   445.3;   481.7;   504.7;   489.8;   442.7;   445.9;   445.3;   444.6;   471.6;
1974;spring;   573.5;   573.2;   489.9;   494.8;   481.6;   613.6;   519.1;   520.2;   490.1;   469.1;   594.8;   483.3;   451.3;   484.5;   471.4;   454.8;   509.1;
1975;spring;   509.8;   509.3;   413.9;   437.0;   427.2;   515.3;   421.6;   422.4;   383.6;   406.7;   489.2;   410.4;   423.2;   459.9;   450.3;   438.2;   439.3;
1976;spring;   541.8;   541.6;   643.5;   632.2;   612.7;   570.2;   554.1;   554.5;   588.0;   635.8;   573.0;   670.8;   513.1;   532.6;   546.5;   563.9;   588.6;
1977;spring;   478.2;   478.0;   425.6;   442.7;   471.9;   505.1;   474.7;   475.0;   476.6;   461.7;   516.1;   467.5;   403.9;   455.9;   453.7;   450.8;   460.8;
1978;spring;   522.5;   522.3;   413.5;   436.1;   408.0;   504.3;   420.3;   420.9;   401.5;   412.3;   472.1;   424.2;   441.0;   438.7;   428.3;   415.3;   438.1;
1979;spring;   474.7;   474.7;   436.8;   464.8;   419.6;   458.9;   395.2;   395.3;   415.4;   427.7;   414.4;   416.3;   452.8;   417.1;   413.7;   409.5;   435.2;
1980;spring;   548.5;   548.4;   426.9;   437.7;   460.3;   571.9;   520.9;   521.5;   485.8;   455.4;   561.6;   459.9;   477.2;   498.2;   480.7;   458.6;   485.1;
1981;spring;   527.5;   527.7;   442.2;   475.2;   428.8;   544.5;   453.6;   454.0;   405.3;   411.9;   497.1;   421.3;   496.1;   477.2;   468.2;   456.9;   466.0;
1982;spring;   609.9;   609.8;   540.9;   553.7;   547.7;   592.7;   538.1;   538.2;   519.6;   544.6;   555.2;   561.1;   582.0;   570.3;   563.2;   554.2;   556.1;
1983;spring;   364.2;   364.5;   350.1;   376.8;   316.4;   322.8;   304.2;   303.7;   300.4;   308.1;   302.3;   289.9;   368.6;   348.7;   344.4;   338.9;   337.4;
1984;spring;   482.8;   482.5;   453.1;   449.0;   423.2;   533.7;   460.1;   460.9;   411.5;   428.8;   528.7;   456.9;   436.6;   443.1;   429.0;   411.2;   454.1;
1985;spring;   449.6;   449.3;   415.9;   423.8;   395.4;   426.0;   400.2;   400.3;   386.9;   379.1;   400.5;   378.2;   403.6;   428.8;   417.8;   404.0;   411.4;
1986;spring;   450.5;   450.4;   351.6;   403.4;   360.6;   444.5;   417.9;   418.1;   401.0;   359.0;   410.2;   356.9;   415.9;   415.1;   401.2;   383.6;   402.0;
1987;spring;   515.1;   515.3;   461.7;   433.1;   474.3;   515.1;   445.0;   445.4;   454.6;   478.0;   459.5;   498.9;   445.9;   468.1;   457.5;   444.1;   461.7;
1988;spring;   578.7;   578.9;   424.9;   472.1;   469.9;   597.0;   515.1;   515.3;   481.2;   456.6;   540.2;   459.6;   523.9;   530.0;   512.0;   489.4;   499.8;
1989;spring;   616.3;   616.3;   522.8;   495.5;   524.4;   620.1;   532.0;   531.9;   524.6;   539.0;   555.0;   565.8;   552.7;   581.0;   560.6;   535.0;   541.3;
1990;spring;   639.6;   640.0;   567.0;   567.5;   588.6;   652.7;   609.5;   609.4;   603.5;   595.4;   618.9;   634.0;   623.7;   607.8;   592.3;   572.7;   599.1;
1991;spring;   471.6;   471.2;   463.8;   424.0;   448.2;   530.1;   463.9;   464.0;   456.5;   481.9;   498.7;   531.4;   401.9;   452.1;   436.4;   416.7;   456.3;
1992;spring;   550.1;   550.0;   510.6;   513.6;   510.9;   549.5;   487.2;   487.0;   486.3;   498.0;   506.8;   518.0;   547.9;   536.1;   528.2;   518.3;   514.5;
1993;spring;   600.9;   600.7;   543.4;   566.9;   562.4;   600.9;   542.7;   543.0;   540.7;   536.8;   562.6;   542.8;   570.7;   573.0;   557.5;   538.1;   560.8;
1994;spring;   465.3;   465.0;   406.1;   436.5;   432.0;   493.0;   427.1;   427.4;   408.1;   418.4;   469.7;   406.0;   434.1;   458.3;   442.1;   421.7;   436.1;
1995;spring;   517.3;   516.8;   465.8;   452.5;   466.2;   547.4;   486.9;   487.5;   459.6;   478.0;   540.3;   479.6;   456.4;   494.0;   468.9;   437.2;   479.1;
1996;spring;   460.7;   460.2;   474.3;   455.2;   469.6;   496.9;   437.0;   437.6;   442.3;   471.6;   499.1;   496.0;   433.5;   420.2;   413.9;   406.0;   455.3;
1997;spring;   533.0;   532.7;   577.4;   529.6;   530.2;   524.2;   488.7;   488.6;   500.4;   555.8;   505.0;   582.9;   516.1;   515.3;   505.5;   493.1;   523.7;
1998;spring;   503.7;   503.8;   495.9;   488.3;   432.8;   503.2;   422.2;   422.6;   393.8;   433.6;   475.0;   446.6;   489.9;   475.2;   466.3;   455.2;   464.1;
1999;spring;   534.0;   533.7;   442.1;   467.0;   472.3;   524.0;   502.3;   502.4;   495.6;   459.6;   525.2;   470.4;   499.4;   511.8;   490.4;   463.4;   487.9;
2000;spring;   562.9;   562.5;   482.9;   483.2;   458.1;   576.3;   472.9;   473.6;   447.8;   445.2;   522.0;   461.5;   518.2;   524.3;   508.1;   487.8;   493.7;
2001;spring;   494.5;   494.4;   433.4;   460.4;   427.6;   511.6;   462.2;   462.8;   428.3;   427.1;   511.8;   430.4;   454.5;   482.2;   461.9;   436.4;   459.3;
2002;spring;   453.3;   452.7;   527.2;   529.4;   457.8;   452.6;   449.6;   449.6;   473.9;   489.1;   457.7;   519.9;   448.3;   430.4;   433.0;   436.2;   477.8;
2003;spring;   628.7;   628.4;   589.5;   578.7;   574.8;   647.8;   578.1;   578.4;   583.8;   594.4;   609.4;   627.6;   588.0;   600.1;   578.2;   550.6;   591.8;
2004;spring;   493.1;   493.2;   538.5;   519.3;   486.4;   524.9;   462.5;   462.8;   461.7;   531.4;   501.7;   558.5;   463.9;   464.4;   462.1;   459.1;   495.7;
2005;spring;   582.4;   582.3;   498.2;   533.7;   493.1;   589.7;   507.1;   507.7;   461.8;   484.7;   582.8;   504.1;   558.3;   545.5;   536.1;   524.4;   525.9;
2006;spring;   474.8;   475.0;   440.0;   450.4;   441.4;   462.2;   442.5;   442.2;   437.9;   456.7;   451.5;   456.8;   472.6;   464.6;   462.0;   458.7;   452.1;
2007;spring;   693.9;   693.8;   690.6;   703.7;   659.5;   678.3;   627.5;   627.7;   616.7;   665.0;   667.0;   674.8;   676.4;   674.8;   671.0;   666.3;   670.0;
2008;spring;   536.6;   536.5;   459.0;   486.8;   433.4;   616.2;   538.2;   539.3;   453.6;   428.8;   648.6;   430.9;   481.7;   527.2;   495.6;   455.9;   501.5;
2009;spring;   634.1;   634.1;   501.9;   526.0;   513.6;   670.0;   600.8;   601.7;   524.4;   509.5;   651.8;   515.0;   555.9;   596.7;   563.1;   520.9;   561.3;
2010;spring;   436.0;   436.5;   468.9;   464.9;   468.3;   461.9;   483.5;   483.9;   462.6;   483.0;   502.4;   502.2;   429.5;   442.9;   441.1;   438.9;   463.9;
2011;spring;   705.4;   705.6;   742.4;   721.4;   731.0;   702.5;   660.6;   660.4;   693.9;   740.7;   650.7;   763.4;   691.4;   699.8;   702.3;   705.5;   705.4;
2012;spring;   582.3;   582.7;   593.3;   591.3;   536.1;   562.7;   483.7;   483.5;   476.5;   540.6;   511.2;   566.0;   587.7;   545.6;   544.1;   542.3;   548.6;
2013;spring;   458.3;   458.7;   341.2;   354.4;   363.8;   534.0;   418.3;   419.0;   403.4;   372.3;   498.1;   368.7;   376.6;   405.2;   379.7;   346.3;   398.7;
2014;spring;   543.8;   543.8;   563.7;   533.4;   516.3;   547.2;   503.3;   503.7;   499.5;   557.7;   531.2;   578.5;   525.5;   527.4;   520.3;   511.1;   529.9;
2015;spring;   568.8;   569.0;   578.6;   537.7;   559.0;   541.9;   527.3;   527.5;   527.6;   566.0;   539.4;   562.7;   581.4;   566.8;   565.1;   562.9;   550.6;
2016;spring;   529.9;   529.9;   434.9;   453.4;   444.7;   546.4;   502.2;   502.3;   466.2;   423.7;   510.4;   393.1;   479.2;   515.5;   492.2;   461.9;   477.2;
2017;spring;   509.2;   509.4;   583.6;   540.4;   520.1;   511.4;   498.9;   499.0;   510.9;   574.5;   523.7;   605.6;   494.0;   508.4;   498.4;   485.3;   525.6;
2018;spring;   706.7;   706.3;   579.1;   614.9;   598.7;   700.2;   625.7;   626.1;   587.4;   570.9;   642.2;   556.7;   646.9;   672.5;   647.9;   615.8;   625.9;
2019;spring;   558.9;   559.0;   506.3;   520.9;   510.0;   551.1;   510.0;   510.4;   477.1;   510.9;   535.6;   525.9;   544.6;   543.8;   529.9;   511.8;   520.7;
2020;spring;   707.0;   706.8;   731.8;   694.8;   730.0;   703.9;   694.8;   694.9;   728.6;   755.2;   699.8;   771.3;   675.9;   700.6;   694.9;   687.5;   708.7;
2021;spring;   499.7;   499.7;   540.8;   522.2;   491.8;   510.6;   453.6;   453.9;   474.2;   541.7;   482.0;   566.4;   472.1;   487.1;   480.1;   471.1;   498.6;
2022;spring;   684.1;   684.1;   697.1;   670.4;   667.3;   687.2;   652.6;   653.2;   668.0;   693.4;   688.7;   707.9;   671.5;   659.6;   652.3;   642.8;   673.2;
2023;spring;   542.6;   541.8;   455.2;   469.9;   486.7;   591.0;   506.9;   507.4;   477.0;   501.7;   572.9;   517.6;   491.3;   513.0;   499.3;   481.5;   500.0;
2024;spring;   567.2;   566.2;   451.7;   501.0;   442.6;   551.6;   478.0;   478.7;   407.8;   432.7;   514.8;   436.4;   527.4;   519.0;   500.0;   475.4;   487.2;
