Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230902
Jahr;summer;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1951;summer;   711.7;   712.0;   678.5;   677.3;   629.8;   707.8;   610.4;   611.5;   573.4;   630.0;   660.7;   674.9;   698.8;   626.7;   625.6;   624.3;   653.1;
1952;summer;   722.5;   722.3;   799.5;   750.8;   689.1;   697.9;   596.0;   596.3;   591.8;   700.9;   621.5;   786.3;   735.2;   675.1;   676.6;   678.5;   693.6;
1953;summer;   700.5;   700.5;   657.4;   660.9;   641.5;   747.8;   617.8;   618.6;   555.2;   612.9;   700.3;   679.3;   679.8;   628.8;   619.7;   608.2;   648.5;
1954;summer;   556.7;   556.8;   567.6;   545.8;   511.9;   536.9;   492.0;   492.3;   445.8;   534.7;   522.8;   592.8;   574.7;   507.5;   502.3;   495.7;   525.3;
1955;summer;   651.6;   650.8;   565.6;   550.9;   552.1;   739.1;   625.3;   627.0;   564.1;   588.3;   777.4;   664.6;   517.8;   538.3;   510.8;   476.1;   591.7;
1956;summer;   570.6;   570.9;   539.4;   542.1;   466.3;   631.9;   470.4;   471.5;   403.6;   472.7;   604.8;   537.8;   501.9;   496.0;   474.8;   448.2;   512.8;
1957;summer;   670.1;   670.3;   628.4;   630.7;   627.9;   678.3;   622.5;   623.0;   601.4;   635.7;   694.7;   673.4;   641.9;   633.7;   631.9;   629.6;   636.9;
1958;summer;   663.6;   663.5;   668.6;   651.2;   591.2;   647.3;   545.8;   546.3;   537.7;   607.1;   616.8;   628.7;   628.7;   592.7;   590.3;   587.2;   613.7;
1959;summer;   734.7;   734.9;   709.5;   679.8;   765.2;   804.4;   759.0;   759.7;   732.6;   766.1;   843.6;   810.8;   667.9;   710.4;   707.8;   704.5;   731.4;
1960;summer;   623.1;   623.0;   592.4;   583.6;   553.7;   625.6;   512.6;   513.2;   493.9;   525.8;   596.7;   550.2;   586.5;   590.2;   583.7;   575.6;   568.0;
