Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240302
Jahr;winter;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1952;winter;   151.6;   151.9;   170.0;   124.5;   101.0;   154.2;   129.8;   129.9;   125.6;   134.0;   145.7;   155.2;   149.6;   145.8;   133.4;   117.9;   136.8;
1953;winter;   106.6;   106.6;   145.1;   135.4;   107.8;    95.7;    88.6;    88.4;   107.6;   127.4;    82.2;   138.9;   123.9;    93.9;   100.4;   108.6;   113.8;
1954;winter;   241.3;   241.4;   168.6;   200.3;   197.4;   215.1;   189.4;   189.6;   203.3;   193.9;   192.2;   206.9;   238.9;   204.2;   202.2;   199.6;   201.7;
1955;winter;   187.1;   187.0;   155.1;   156.0;   132.4;   150.0;   168.7;   168.6;   140.9;   128.0;   161.7;   124.8;   212.4;   176.4;   167.6;   156.5;   159.7;
1956;winter;   172.7;   173.2;   200.9;   214.2;   193.8;   166.3;   166.6;   166.7;   175.9;   200.9;   174.2;   215.5;   186.1;   163.1;   167.0;   171.9;   186.2;
1957;winter;   136.7;   137.2;   194.4;   176.9;   151.6;   154.9;   120.6;   120.6;   138.5;   170.7;   136.8;   196.2;   158.4;   126.0;   131.9;   139.3;   153.6;
1958;winter;   198.6;   198.9;   170.3;   177.9;   138.4;   190.5;   149.1;   149.2;   136.4;   156.4;   176.9;   155.4;   181.0;   183.3;   174.7;   164.0;   168.1;
1959;winter;   170.4;   171.0;   270.5;   253.3;   200.8;   157.8;   154.9;   154.9;   188.8;   217.7;   175.1;   261.4;   225.0;   169.8;   184.8;   203.7;   205.5;
1960;winter;   153.1;   153.5;   184.5;   161.6;   109.5;   129.6;   104.0;   103.9;   125.3;   139.6;   104.4;   130.2;   160.5;   126.7;   119.8;   111.1;   138.6;
1961;winter;   167.8;   168.1;   176.5;   172.4;   138.8;   139.1;   133.9;   133.7;   163.1;   160.0;   137.3;   154.9;   193.2;   158.2;   160.8;   164.1;   159.8;
1962;winter;   178.2;   178.4;   182.6;   182.7;   170.1;   174.4;   141.1;   140.9;   158.5;   182.9;   175.2;   188.1;   185.7;   173.7;   172.8;   171.6;   172.0;
1963;winter;   188.7;   189.0;   222.1;   224.1;   211.0;   194.2;   199.9;   199.8;   203.8;   221.1;   209.7;   244.1;   177.7;   166.5;   178.4;   193.4;   205.2;
1964;winter;   217.0;   217.2;   213.8;   237.4;   198.5;   202.3;   166.3;   166.0;   199.0;   187.2;   174.3;   180.0;   254.9;   211.0;   220.9;   233.3;   208.7;
1965;winter;   114.6;   114.7;   148.5;   141.2;   119.3;   123.9;   110.2;   110.3;   122.1;   143.4;   147.4;   149.4;   117.9;   112.9;   112.0;   111.0;   127.5;
1966;winter;    89.3;    89.7;   152.3;   152.3;    95.8;    99.3;   100.3;   100.4;   103.5;   127.2;   109.6;   147.3;   117.8;    93.6;    97.9;   103.4;   117.9;
1967;winter;   135.1;   135.4;   193.2;   183.0;   141.1;   116.0;   123.0;   123.0;   127.1;   164.4;   132.4;   177.2;   166.5;   143.7;   143.1;   142.4;   151.4;
1968;winter;   127.4;   127.6;   167.2;   145.7;   108.5;   151.3;   118.2;   118.6;   102.0;   129.4;   142.0;   151.8;   122.1;   132.8;   129.6;   125.6;   132.8;
1969;winter;   127.3;   127.5;   159.0;   166.1;   110.8;   120.9;   117.2;   117.5;   126.7;   126.9;   119.7;   124.7;   164.8;   123.7;   125.9;   128.6;   137.0;
1970;winter;   117.0;   117.1;   102.1;   119.1;    82.5;   127.8;    99.1;    99.1;   101.8;    90.6;   106.7;    99.9;   119.1;   100.1;   100.0;   100.0;   107.1;
1971;winter;   156.1;   156.2;   173.5;   179.5;   120.2;   145.1;   129.4;   129.6;   133.3;   134.3;   149.2;   156.7;   173.9;   145.3;   146.9;   148.8;   152.4;
1972;winter;   115.3;   115.3;   155.4;   170.3;   114.8;   104.6;   105.5;   105.4;   136.3;   122.1;   108.5;   141.9;   137.8;   112.9;   122.1;   133.5;   132.4;
1973;winter;   154.4;   154.5;   190.1;   175.5;   158.3;   141.3;   136.0;   135.8;   167.1;   187.5;   124.3;   210.7;   185.6;   169.8;   176.6;   185.2;   165.3;
1974;winter;   134.8;   134.9;   132.7;   146.5;   113.8;   131.0;   139.9;   140.2;   140.7;   131.7;   142.4;   130.8;   130.6;   129.7;   126.6;   122.7;   135.8;
