,Year,Month,station_id,pr,sfcWind,tasmax,nFires,area
21,1996,1,00164,0.2,3.384206477350931,275.15,1.0,0.0
22,1996,1,00427,0.7,3.729582460256912,277.45,1.0,0.0
23,1996,1,00650,1.0,2.2764504119352127,277.65,1.0,0.0
24,1996,1,00880,2.8,2.7465953974795774,280.65,1.0,0.0
25,1996,1,01001,1.4,3.770945432598037,281.15,1.0,0.0
26,1996,1,01552,0.7,1.9188019443142117,276.34999999999997,1.0,0.0
27,1996,1,02856,7.1,4.898141407717829,279.04999999999995,1.0,0.0
28,1996,1,02951,1.5,2.635505745393092,277.34999999999997,1.0,0.0
29,1996,1,03015,0.7,2.992471779981224,277.95,1.0,0.0
30,1996,1,03083,7.3,3.5048246883403458,278.84999999999997,1.0,0.0
31,1996,1,03158,0.4,3.688371838584607,275.65,1.0,0.0
32,1996,1,03376,1.7,1.9188019443142117,275.65,1.0,0.0
33,1996,1,03552,0.0,3.729582460256912,276.34999999999997,1.0,0.0
34,1996,1,03987,0.3,4.235837602883284,276.84999999999997,1.0,0.0
35,1996,1,03988,0.5,4.235837602883284,276.84999999999997,1.0,0.0
36,1996,1,05463,1.3,2.364565076287815,275.84999999999997,1.0,0.0
38,1996,1,05643,0.0,1.836692,277.15,1.0,0.0
39,1996,1,05745,1.7,4.149977679845519,276.75,1.0,0.0
40,1996,1,05825,0.8,2.935109089000952,277.15,1.0,0.0
41,1996,1,07244,0.1,0.7137893134532066,276.65,1.0,0.0
42,1997,1,00164,3.1,2.4358555398348236,279.84999999999997,0.0,0.0
43,1997,1,00427,4.4,3.0116747709538627,281.25,0.0,0.0
44,1997,1,00650,8.8,1.7557878908979865,282.84999999999997,0.0,0.0
45,1997,1,00880,6.9,2.2067662246862487,281.04999999999995,0.0,0.0
46,1997,1,01001,5.5,3.4242559999999997,279.65,0.0,0.0
47,1997,1,02627,9.9,1.836692,278.45,0.0,0.0
48,1997,1,02856,8.7,2.635505745393092,280.75,0.0,0.0
49,1997,1,02951,4.5,1.1543534498168226,282.34999999999997,0.0,0.0
50,1997,1,03015,6.1,2.727974451493269,281.15,0.0,0.0
51,1997,1,03083,11.8,1.4295861553162859,280.34999999999997,0.0,0.0
52,1997,1,03158,3.8,2.7839637242665356,279.04999999999995,0.0,0.0
53,1997,1,03376,4.3,0.951362490317965,281.25,0.0,0.0
54,1997,1,03552,4.0,2.2067662246862487,281.34999999999997,0.0,0.0
55,1997,1,03987,6.1,3.52506426077256,282.04999999999995,0.0,0.0
56,1997,1,03988,7.6,3.4242559999999997,282.34999999999997,0.0,0.0
57,1997,1,05463,7.0,1.7880036849000058,280.95,0.0,0.0
59,1997,1,05643,4.1,1.8041846526472838,281.54999999999995,0.0,0.0
60,1997,1,05745,6.5,1.6761078647819778,280.15,0.0,0.0
61,1997,1,05825,4.8,2.5622999044171233,282.34999999999997,0.0,0.0
62,1997,1,07244,4.3,0.836,280.54999999999995,0.0,0.0
63,1998,1,00164,57.4,4.149977679845519,285.65,0.0,0.0
64,1998,1,00303,54.6,3.5656597625841977,286.15,0.0,0.0
65,1998,1,00427,52.6,4.192834381688836,285.95,0.0,0.0
66,1998,1,00650,51.5,2.3823214637189496,287.15,0.0,0.0
67,1998,1,00880,47.5,3.4644622732470336,286.54999999999995,0.0,0.0
68,1998,1,01001,47.5,4.453034260142178,285.34999999999997,0.0,0.0
70,1998,1,02627,46.7,3.3642406896938866,285.65,0.0,0.0
72,1998,1,02856,51.3,4.920765595158541,286.15,0.0,0.0
73,1998,1,02951,63.1,3.2059401020605485,286.15,0.0,0.0
74,1998,1,03015,50.1,3.7502449376818046,285.25,0.0,0.0
