,pr,tasmax,sfcWind,Bundesland,Year,Month
0,1.989994e-05,278.43063,4.9,Brandenburg,2024,1
1,2.113202e-05,278.38547,4.7612906,Brandenburg,2024,1
2,2.4678913e-05,278.1984,4.4225807,Brandenburg,2024,1
3,1.8406512e-05,278.55966,4.416129,Brandenburg,2024,1
4,1.8406512e-05,278.5403,4.367742,Brandenburg,2024,1
5,1.9414576e-05,278.41772,4.3580647,Brandenburg,2024,1
6,2.3521505e-05,278.36935,4.3580647,Brandenburg,2024,1
7,2.4118877e-05,278.2758,4.2451615,Brandenburg,2024,1
8,1.9227897e-05,278.4597,4.332258,Brandenburg,2024,1
9,1.9675927e-05,278.42096,4.1096773,Brandenburg,2024,1
10,2.1430706e-05,278.3371,4.1774197,Brandenburg,2024,1
11,2.408154e-05,278.24353,4.319355,Brandenburg,2024,1
12,2.2326762e-05,278.1758,4.2806454,Brandenburg,2024,1
13,2.0571984e-05,278.14032,4.032258,Brandenburg,2024,1
14,2.1169355e-05,278.079,4.2258067,Brandenburg,2024,1
15,2.3409499e-05,277.94678,4.1387095,Brandenburg,2024,1
16,2.75911e-05,277.7661,4.016129,Brandenburg,2024,1
17,1.9675927e-05,278.4113,4.283871,Brandenburg,2024,1
18,2.0049283e-05,278.3532,4.2967744,Brandenburg,2024,1
19,2.1057347e-05,278.30807,4.3096776,Brandenburg,2024,1
20,1.9601255e-05,278.1758,4.0258064,Brandenburg,2024,1
21,1.7697133e-05,278.15,4.1838713,Brandenburg,2024,1
22,1.9302568e-05,278.2016,4.0258064,Brandenburg,2024,1
23,2.2849463e-05,278.25967,4.203226,Brandenburg,2024,1
24,2.4566905e-05,278.10162,4.167742,Brandenburg,2024,1
25,2.6769714e-05,277.9403,4.0387096,Brandenburg,2024,1
26,1.8219833e-05,278.28546,4.448387,Brandenburg,2024,1
27,1.8742534e-05,278.18225,4.2612906,Brandenburg,2024,1
28,1.8481183e-05,278.0887,4.2967744,Brandenburg,2024,1
29,1.840651e-05,278.18225,4.5580645,Brandenburg,2024,1
30,1.7659797e-05,278.11774,4.322581,Brandenburg,2024,1
31,1.911589e-05,278.13065,4.303226,Brandenburg,2024,1
32,2.2550777e-05,278.19836,4.0870967,Brandenburg,2024,1
33,2.4604242e-05,278.0758,4.2322583,Brandenburg,2024,1
34,1.788381e-05,278.1371,4.2258067,Brandenburg,2024,1
35,1.545699e-05,278.0403,4.4129033,Brandenburg,2024,1
36,1.728644e-05,277.95645,4.419355,Brandenburg,2024,1
37,1.9713261e-05,278.0145,4.3483872,Brandenburg,2024,1
38,2.0497311e-05,278.05966,4.2967744,Brandenburg,2024,1
39,2.087067e-05,278.0145,3.9870968,Brandenburg,2024,1
40,2.1542712e-05,277.93387,4.0741935,Brandenburg,2024,1
41,2.1804062e-05,277.9371,3.832258,Brandenburg,2024,1
42,2.5388292e-05,277.81775,3.9645162,Brandenburg,2024,1
43,2.583632e-05,277.62097,3.8225808,Brandenburg,2024,1
44,2.6433692e-05,278.10806,4.3451614,Brandenburg,2024,1
45,2.034797e-05,278.0887,4.3612905,Brandenburg,2024,1
46,1.624104e-05,278.1274,4.1903224,Brandenburg,2024,1
47,1.6577062e-05,278.1371,3.9806452,Brandenburg,2024,1
48,1.9153227e-05,277.9919,4.0870967,Brandenburg,2024,1
49,2.2849463e-05,277.95645,3.8161292,Brandenburg,2024,1
50,2.2140084e-05,277.94354,3.6225808,Brandenburg,2024,1
51,2.120669e-05,277.90805,4.080645,Brandenburg,2024,1
52,2.3110813e-05,277.76935,4.019355,Brandenburg,2024,1
53,2.2625449e-05,277.73386,4.306452,Brandenburg,2024,1
54,2.5425627e-05,277.56934,3.9258065,Brandenburg,2024,1
55,2.628435e-05,277.50485,4.3,Brandenburg,2024,1
56,2.251344e-05,278.13065,4.5548387,Brandenburg,2024,1
57,2.0347969e-05,278.3145,4.6806455,Brandenburg,2024,1
58,1.5568996e-05,278.3242,4.629032,Brandenburg,2024,1
59,1.6838412e-05,278.22742,4.33871,Brandenburg,2024,1
60,1.9563919e-05,278.1887,4.1225805,Brandenburg,2024,1
61,1.9750598e-05,278.07257,4.1774197,Brandenburg,2024,1
62,2.1766728e-05,277.9242,4.0935483,Brandenburg,2024,1
63,2.3409499e-05,277.8726,3.764516,Brandenburg,2024,1
64,2.2214756e-05,277.72418,3.7548387,Brandenburg,2024,1
65,2.2140084e-05,277.59515,4.1741934,Brandenburg,2024,1
66,2.2774791e-05,277.61774,4.4903226,Brandenburg,2024,1
67,2.505227e-05,277.51453,4.016129,Brandenburg,2024,1
68,2.4828256e-05,277.54355,4.180645,Brandenburg,2024,1
69,1.904122e-05,278.53064,4.23871,Brandenburg,2024,1
70,1.8518518e-05,278.38226,3.9580646,Brandenburg,2024,1
71,1.6315711e-05,278.4242,4.596774,Brandenburg,2024,1
72,1.6689068e-05,278.3145,4.2451615,Brandenburg,2024,1
73,1.8630526e-05,278.19193,4.5225806,Brandenburg,2024,1
74,2.0161291e-05,278.15643,4.770968,Brandenburg,2024,1
75,2.1057347e-05,278.01773,5.116129,Brandenburg,2024,1
76,2.1094684e-05,277.9242,4.9387097,Brandenburg,2024,1
77,2.2476106e-05,277.8242,4.2096777,Brandenburg,2024,1
78,2.2401433e-05,277.7016,4.1935487,Brandenburg,2024,1
79,2.3334827e-05,277.5242,4.0419354,Brandenburg,2024,1
80,2.0459976e-05,277.5242,4.283871,Brandenburg,2024,1
81,2.1393369e-05,277.47256,4.4096775,Brandenburg,2024,1
82,1.6465054e-05,278.64032,4.383871,Brandenburg,2024,1
83,1.6651733e-05,278.4758,4.5064516,Brandenburg,2024,1
84,1.7622462e-05,278.3145,4.480645,Brandenburg,2024,1
85,1.9265233e-05,278.19516,5.016129,Brandenburg,2024,1
86,2.1132018e-05,278.1016,4.8483872,Brandenburg,2024,1
87,2.2662784e-05,277.99515,4.7580647,Brandenburg,2024,1
88,2.1542712e-05,277.92096,4.6193547,Brandenburg,2024,1
89,2.2326762e-05,277.66614,3.9935484,Brandenburg,2024,1
90,2.0758662e-05,277.46613,4.2161293,Brandenburg,2024,1
91,1.963859e-05,277.4371,4.3419356,Brandenburg,2024,1
92,1.8369175e-05,277.36612,4.548387,Brandenburg,2024,1
93,1.6203703e-05,278.64676,4.0064516,Brandenburg,2024,1
94,1.762246e-05,278.5113,4.3580647,Brandenburg,2024,1
95,1.8219833e-05,278.2629,4.851613,Brandenburg,2024,1
96,2.0310634e-05,278.2016,5.1612906,Brandenburg,2024,1
97,2.1244026e-05,277.83386,4.4451613,Brandenburg,2024,1
98,2.0347969e-05,277.61774,4.6096773,Brandenburg,2024,1
99,1.8891877e-05,277.35968,4.4451613,Brandenburg,2024,1
100,1.8182498e-05,277.31128,4.5258064,Brandenburg,2024,1
101,1.571834e-05,277.44998,4.83871,Brandenburg,2024,1
102,1.5382318e-05,277.47903,4.735484,Brandenburg,2024,1
103,1.8369175e-05,278.60483,3.7612903,Brandenburg,2024,1
104,1.9526584e-05,278.51773,3.8612905,Brandenburg,2024,1
105,1.9675927e-05,278.3532,4.0709677,Brandenburg,2024,1
106,1.8107827e-05,278.13065,4.787097,Brandenburg,2024,1
107,1.9563919e-05,278.10806,5.1419353,Brandenburg,2024,1
108,1.8630526e-05,278.11774,4.3935485,Brandenburg,2024,1
109,2.2028076e-05,277.73386,4.903226,Brandenburg,2024,1
110,2.2550777e-05,277.46936,4.4935484,Brandenburg,2024,1
111,2.1542714e-05,277.3145,4.790323,Brandenburg,2024,1
112,1.780914e-05,277.49194,4.467742,Brandenburg,2024,1
113,1.4784947e-05,277.5629,4.612903,Brandenburg,2024,1
114,1.9862606e-05,278.34354,3.7032259,Brandenburg,2024,1
115,1.9862604e-05,278.13065,4.170968,Brandenburg,2024,1
116,1.7398446e-05,278.01773,4.8290324,Brandenburg,2024,1
117,1.7995819e-05,277.93387,4.467742,Brandenburg,2024,1
118,1.9974612e-05,277.9758,4.3903227,Brandenburg,2024,1
119,1.9713261e-05,277.9274,4.1064515,Brandenburg,2024,1
120,2.2065413e-05,277.7887,4.432258,Brandenburg,2024,1
121,2.3110812e-05,277.65967,4.719355,Brandenburg,2024,1
122,2.3260156e-05,277.4371,4.9548388,Brandenburg,2024,1
123,2.1953405e-05,277.29517,4.7161293,Brandenburg,2024,1
124,1.6129034e-05,277.58548,4.7483873,Brandenburg,2024,1
125,1.4934289e-05,277.57257,4.548387,Brandenburg,2024,1
126,1.989994e-05,278.21127,4.206452,Brandenburg,2024,1
127,1.9302568e-05,278.00482,4.0,Brandenburg,2024,1
128,1.8406512e-05,277.80807,4.283871,Brandenburg,2024,1
129,1.833184e-05,277.75323,4.5451612,Brandenburg,2024,1
130,2.0385305e-05,277.73386,4.1225805,Brandenburg,2024,1
131,2.0422642e-05,277.76935,4.2419357,Brandenburg,2024,1
132,2.4417563e-05,277.7661,4.2967744,Brandenburg,2024,1
133,2.2774791e-05,277.71127,4.1838713,Brandenburg,2024,1
134,2.0795998e-05,277.5113,4.270968,Brandenburg,2024,1
135,1.7958482e-05,277.46613,4.645161,Brandenburg,2024,1
136,2.1132018e-05,278.1887,4.1612906,Brandenburg,2024,1
137,2.0198626e-05,278.01773,4.5064516,Brandenburg,2024,1
138,1.8406512e-05,277.84677,4.33871,Brandenburg,2024,1
139,1.9414576e-05,277.65967,4.2483873,Brandenburg,2024,1
140,2.1617383e-05,277.5629,3.9451613,Brandenburg,2024,1
141,2.2737455e-05,277.50806,4.116129,Brandenburg,2024,1
142,2.113202e-05,277.48547,4.580645,Brandenburg,2024,1
143,2.0721327e-05,277.5758,4.2290325,Brandenburg,2024,1
144,2.0235962e-05,277.5403,4.016129,Brandenburg,2024,1
145,1.780914e-05,277.25967,4.4580646,Brandenburg,2024,1
146,1.4971625e-05,277.1371,4.7935486,Brandenburg,2024,1
147,2.0534648e-05,278.27902,4.0451612,Brandenburg,2024,1
148,2.1281363e-05,278.0274,4.448387,Brandenburg,2024,1
149,1.9489247e-05,277.88226,4.4580646,Brandenburg,2024,1
150,1.8630526e-05,277.70807,3.6709678,Brandenburg,2024,1
151,2.0459976e-05,277.5145,3.6129034,Brandenburg,2024,1
152,2.3894863e-05,277.4016,3.7193549,Brandenburg,2024,1
153,2.4230885e-05,277.36612,4.4225807,Brandenburg,2024,1
154,2.1766726e-05,277.41772,4.370968,Brandenburg,2024,1
155,2.0459976e-05,277.4403,3.9612904,Brandenburg,2024,1
156,1.8518518e-05,277.3145,3.9548388,Brandenburg,2024,1
157,1.6017026e-05,277.0274,4.319355,Brandenburg,2024,1
