,Year,Month,station_id,pr,sfcWind,tasmax,nFires
0,1995,1,00164,42.5,3.46,285.34999999999997,0.0
1,1995,1,00427,43.5,3.34,285.75,0.0
2,1995,1,00650,71.3,2.42,285.65,0.0
3,1995,1,00880,47.1,2.74,286.15,0.0
4,1995,1,01001,52.0,3.39,285.75,0.0
5,1995,1,01552,49.9,,,0.0
6,1995,1,02856,49.1,3.57,285.75,0.0
7,1995,1,02951,62.9,2.12,285.34999999999997,0.0
8,1995,1,03015,44.8,3.15,285.65,0.0
9,1995,1,03083,47.4,3.2,285.95,0.0
10,1995,1,03158,29.5,3.19,285.84999999999997,0.0
11,1995,1,03376,53.7,2.02,286.04999999999995,0.0
12,1995,1,03552,67.2,2.69,284.75,0.0
13,1995,1,03987,59.4,3.41,285.65,0.0
14,1995,1,03988,65.6,3.51,285.84999999999997,0.0
15,1995,1,05463,46.4,2.73,285.84999999999997,0.0
16,1995,1,05546,,3.35,284.15,0.0
17,1995,1,05643,76.3,2.24,284.34999999999997,0.0
18,1995,1,05745,63.5,3.38,284.65,0.0
19,1995,1,05825,59.0,3.3,285.65,0.0
20,1995,1,07244,54.5,1.79,283.75,0.0
21,1996,1,00164,0.2,2.54,275.15,1.0
22,1996,1,00427,0.7,2.71,277.45,1.0
23,1996,1,00650,1.0,1.95,277.65,1.0
24,1996,1,00880,2.8,2.21,280.65,1.0
25,1996,1,01001,1.4,2.73,281.15,1.0
26,1996,1,01552,0.7,1.74,276.34999999999997,1.0
27,1996,1,02856,7.1,3.25,279.04999999999995,1.0
28,1996,1,02951,1.5,2.15,277.34999999999997,1.0
29,1996,1,03015,0.7,2.34,277.95,1.0
30,1996,1,03083,7.3,2.6,278.84999999999997,1.0
31,1996,1,03158,0.4,2.69,275.65,1.0
32,1996,1,03376,1.7,1.74,275.65,1.0
33,1996,1,03552,0.0,2.71,276.34999999999997,1.0
34,1996,1,03987,0.3,2.95,276.84999999999997,1.0
35,1996,1,03988,0.5,2.95,276.84999999999997,1.0
36,1996,1,05463,1.3,2.0,275.84999999999997,1.0
37,1996,1,05546,,,,1.0
38,1996,1,05643,0.0,1.69,277.15,1.0
39,1996,1,05745,1.7,2.91,276.75,1.0
40,1996,1,05825,0.8,2.31,277.15,1.0
41,1996,1,07244,0.1,0.9,276.65,1.0
42,1997,1,00164,3.1,2.04,279.84999999999997,0.0
43,1997,1,00427,4.4,2.35,281.25,0.0
44,1997,1,00650,8.8,1.64,282.84999999999997,0.0
45,1997,1,00880,6.9,1.91,281.04999999999995,0.0
46,1997,1,01001,5.5,2.56,279.65,0.0
47,1997,1,02627,9.9,1.69,278.45,0.0
48,1997,1,02856,8.7,2.15,280.75,0.0
49,1997,1,02951,4.5,1.24,282.34999999999997,0.0
50,1997,1,03015,6.1,2.2,281.15,0.0
51,1997,1,03083,11.8,1.43,280.34999999999997,0.0
52,1997,1,03158,3.8,2.23,279.04999999999995,0.0
53,1997,1,03376,4.3,1.09,281.25,0.0
54,1997,1,03552,4.0,1.91,281.34999999999997,0.0
55,1997,1,03987,6.1,2.61,282.04999999999995,0.0
56,1997,1,03988,7.6,2.56,282.34999999999997,0.0
57,1997,1,05463,7.0,1.66,280.95,0.0
58,1997,1,05546,,2.79,281.15,0.0
59,1997,1,05643,4.1,1.67,281.54999999999995,0.0
60,1997,1,05745,6.5,1.59,280.15,0.0
61,1997,1,05825,4.8,2.11,282.34999999999997,0.0
62,1997,1,07244,4.3,1.0,280.54999999999995,0.0
63,1998,1,00164,57.4,2.91,285.65,0.0
64,1998,1,00303,54.6,2.63,286.15,0.0
65,1998,1,00427,52.6,2.93,285.95,0.0
66,1998,1,00650,51.5,2.01,287.15,0.0
67,1998,1,00880,47.5,2.58,286.54999999999995,0.0
68,1998,1,01001,47.5,3.05,285.34999999999997,0.0
69,1998,1,01869,,3.4,284.65,0.0
70,1998,1,02627,46.7,2.53,285.65,0.0
71,1998,1,02794,,2.91,285.54999999999995,0.0
72,1998,1,02856,51.3,3.26,286.15,0.0
73,1998,1,02951,63.1,2.45,286.15,0.0
74,1998,1,03015,50.1,2.72,285.25,0.0
75,1998,1,03083,49.8,2.19,286.15,0.0
